sid	time	Ppara	Cyp3a11	Cyp24a1	Nos2	Nfkbia	Cyp2c39	Nr3c1	Cyp1a2	Abcb1a	Sult1b1	Gstp1	Cxcl15	Cebpa	Nr1h3	Sod2	Sult1a1	Gstm1	Cyp4a10	Hmox1	Ahr	Cebpd	Slc10a1	Gsta2	Dpyd	Socs3	Vdr	Nr2f2	Rxra	Cyp7a1	Ugt1a1	Socs1	Abcg2	Abcc2	Por	Cyp2c37	Nr1i2	Cebpb	Nr0b2	Cyp2b10	Nr2f1	Cyp2d22	Act B	Hnf4a	Hk2	Ptgs2	Nr1i3	Cyp2c29
1	0h	1.4215682896	0.8891787033	9.7642739986	0.4013258155	0.1782749838	0.2522543237	0.9197484446	2.4736826659	0.164235626	1.2113529063	1.1353677213	0.0036638141	1.3959770996	0.6636454511	0.7046757867	0.4768463548	0.5419972988	2.497303183	0.4612186078	0.5638193828	0.4943214651	1.5270774534	0.6690751984	1.1400586949	0.5568293536	0.3799749025	0.8966502365	0.8984188678	1.0212262017	1.1254668643	0.6108460474	0.9261927083	0.7058550274	0.5689693311	2.3514006454	0.5734529711	0.6148179638	0.1549540049	0.9940729172	0.5452514194	1.1690757606	0.642947484	0.8971516546	0.2428821673	0.3385505679	0.7230718132	2.112303048
2	0h	2.0292143021	0.8651388773	0.1350886399	0.3640469278	14.2860093616	0.6760921879	1.4713696965	3.1919463859	0.4264115269	2.5398532963	1.3580068979	191.837882486	2.473933708	1.3185001122	1.1292459305	0.6316484939	0.8204544312	2.3649737087	0.426802388	0.9569060064	1.001185868	2.2005084721	0.9022963301	1.4925921158	0.6230811011	2.3347634435	1.5546967295	1.2621755285	1.5799754586	1.6331390027	1.5708202893	1.3497132256	1.2832656968	0.6915935541	3.1762924905	0.8802985918	0.726451625	21.9244288281	1.3303897349	2.7551903727	1.6289459768	0.7130195203	1.4323723344	1.0112178053	2.3261362295	1.0195389022	2.3652149842
3	0h	1.8044803695	1.0737269876	9.5027886795	0.4733044345	0.2309316117	0.3937943549	0.9285510328	2.5805136512	0.5202448436	1.4647149149	1.4206438273	0.2796588502	1.9127648763	0.9780241529	1.010980077	0.5622515449	0.3843723115	1.469052025	0.5323766498	0.6994046631	0.3258317493	1.7356572241	0.6762290545	1.01145937	0.2862947943	0.2330046736	1.4226189053	0.9777757612	2.0249250086	1.2321277451	0.3289289486	1.0264320322	0.994121638	0.8855403636	1.5756749145	0.7605351529	0.6958638518	0.3372736291	0.5882786714	0.7139805724	1.0375731748	0.7529263042	1.025018458	0.4568079534	0.1768364162	0.7736067013	1.6169231406
4	0h	2.5907448613	0.6016354213	0.9045143916	2.7794305661	91.852655334	1.591727482	1.7705919979	2.6742000812	1.7594791011	3.118776646	1.1991534511	1465.0065911467	1.9005266075	1.3838921324	1.3426225714	0.697905162	0.7264835157	2.1594584281	0.5500033362	1.1160990031	2.0327377929	2.3605596088	1.1920909155	1.4006253914	0.6424644562	19.8431657992	2.0247036541	1.3867448425	4.3794203966	1.6715546777	3.0862171508	1.4950705885	1.790111104	1.2238606298	2.0323596333	1.1048436062	0.9384538348	0.1453688354	2.9369916945	8.4627114738	1.5073196451	0.5956104301	1.1200634292	3.0311861588	20.0917575025	1.7487939746	1.3461090386
5	0h	1.5619353285	0.4971430522	0.3705257155	0.0898063246	0.1026943296	0.3147761068	0.90301215	2.131743711	0.2531590146	0.954513185	1.5057342802	0.0004911699	1.2665289791	0.8216820941	0.8600582903	0.5398203694	0.4103597436	0.1594070583	0.2664564087	0.7277453423	0.77313915	1.4052814565	0.2324044169	1.1313478263	0.5590564542	0.1586966065	0.834065485	1.0291717366	4.0040630953	0.9334723128	0.6501972015	0.9522968647	0.9471767862	1.2220402631	0.9267034363	0.6451606542	0.7752258256	0.1053756881	0.7615651975	0.3756063113	0.8040389197	0.5858055484	0.7421442997	0.4091690627	0.0601628623	0.8205096171	1.0619068544
6	6h	2.0224053071	0.830022266	2818.8471290918	10.2788951336	304.1503193534	2.900982453	1.8790825992	2.0588386312	2.7529045235	3.2383482516	1.2577355718	4897.2931115288	1.7613294106	1.5812078797	1.2803537534	0.9400863664	0.5947079268	8.0233613482	1.9252272982	1.2484184371	5.9199440691	1.4721553957	0.6707881065	1.1834704251	3.5325352472	59.1629944746	1.6356356531	1.5601786877	0.7155113702	1.3083697259	8.6751564229	1.7760688158	1.1427393341	1.1350794446	1.7132815689	1.6886917437	1.596000127	496.4630596703	18.2659322106	26.7043360678	1.2666522724	0.955161714	1.8157539234	6.1534102742	46.1991265272	1.1839965483	1.9974995607
7	6h	1.4065563648	0.7232925161	3663.0112848345	12.8236162527	346.1824079642	3.3446414575	1.8442018976	2.0228964142	3.7231543791	3.4956730233	1.0574339262	6443.1381551712	1.4723357935	1.5970329546	1.5023782853	1.2323553202	0.6882397231	4.5011357853	2.1967746722	1.3944830479	5.3450992144	1.2472549823	1.2934864024	1.3048264442	4.3895254671	71.7534472918	1.3724862193	1.4317123955	0.5496395029	1.3541160533	13.106484975	1.744798076	0.9513594817	0.8575326909	2.1843796265	1.5086075471	1.6174794027	655.5157397259	19.1107657003	29.5336556302	1.2708357661	1.0562659434	1.5644948433	6.9868137569	58.4785721069	1.0255954884	1.9597198781
8	6h	1.2302870029	0.7691061191	1442.2995059119	3.7962568497	150.2088148757	1.6349735804	1.3624367198	2.0710988146	2.1670192663	2.7530515809	1.094615405	2230.7696068353	1.0986658913	1.1139071082	1.2206183788	1.2261105222	0.6977851031	4.0751420645	2.1684867326	0.9782433562	2.758588373	1.4051445743	0.754880517	1.1995708537	2.6278258879	26.217414535	1.0732041316	1.1852336191	0.2890387912	1.3966548906	3.9030670534	1.4329477122	1.0307854499	1.5149234738	1.6648634595	2.0133479649	1.6762400871	193.1691631184	7.9222599912	10.5728393092	1.3207547406	0.8915976772	1.5142598931	3.4001010116	23.2005398724	0.8343571299	1.7745426767
9	6h	1.16878653	0.9621670196	125.6804343741	0.2606329958	0.0106113734	0.2816046198	0.7316794081	2.0898523006	0.1711930039	0.9214413663	1.1482991212	0.0963062059	1.1236358546	0.6962865598	0.7706917827	0.6890951266	0.4655330398	4.0549000267	0.9088277331	0.7178114894	0.7865529421	1.214243933	0.4936705829	0.9887310439	1.2534050262	0.4345409434	0.6889653024	1.018182938	0.5132423705	0.9425075456	1.0848837925	0.8668193067	0.5990920072	0.8030358696	1.7447197663	0.6463133407	0.784994526	228.5293511041	2.1988777142	0.5025947042	0.9652669781	0.7475292161	0.9713506987	0.3521951063	0.5996976894	0.5567937363	2.1544374689
10	6h	1.4883115296	0.9428179408	403.2930588125	0.0257983089	0.6380565809	0.4031918237	0.9298297205	2.6736282728	0.196693099	1.4305171629	1.3601631414	0.3667334604	1.5222324861	0.8204652111	0.8803603116	0.6734775474	0.6968701263	2.8840324886	0.5917259641	0.7300409845	0.6615577488	1.7610115975	0.6054033217	1.2174268478	0.9693652293	0.0497672266	1.0164954845	1.119209977	0.8477811678	1.2197699769	0.9401118273	1.0502829778	0.8786821596	0.9485809478	2.2437985787	0.8613842317	0.6115767083	451.4391636078	0.9082723417	0.6189130723	1.1767374189	0.6410608398	1.1455000159	0.2688505484	0.1786506187	0.6605374789	2.3098075789
11	12h	0.8251309395	1.0084170955	0.2434601086	1.6917402305	0.2946472733	1.0183549986	0.941109167	1.5208832513	1.3893207563	0.9275681209	0.9513577906	0.2277126802	1.0095227277	0.9940176567	1.2904203891	1.2826246868	0.582244299	1.5236102896	1.5065938203	0.668477964	0.7752671351	1.4511846373	0.4284495621	1.0052050782	1.1367347457	0.5920244413	1.1019927996	0.9749541652	0.6699696056	1.1119604662	0.6365232814	0.7752568877	0.8783466534	1.3048989916	1.2323948975	1.2936008994	0.8658749548	1.1498017169	1.8074790016	0.3403780481	0.861816293	0.8770579056	1.037972367	0.5901387557	0.59879289	0.9247743053	1.6334850237
12	12h	1.1925449337	0.7975744932	0.3329748298	1.5061578218	0.3092483426	0.6772819466	0.8912736557	1.761273825	0.9073024149	0.9953980458	1.1949661704	0.1673363507	1.0479218585	0.8603250502	1.0222029972	0.8691698675	0.6091175592	1.4723012319	0.986541992	0.6659557748	0.6880878378	1.8284176812	0.4953150071	0.9171195013	0.6796889926	0.4851919983	1.0943028533	0.9111222165	1.8016402579	1.0797682276	0.6048806873	0.8896448183	1.0546211903	1.1244907249	1.1983104397	1.0172643906	0.7136468287	1.315932141	0.6537499214	0.4896044463	0.895397182	0.6374865444	0.8700822456	0.5410798082	0.452401268	1.0533024797	1.4589919445
13	12h	1.1471247657	0.5820494946	0.0206268168	0.4937963985	0.2356885697	0.7691895146	0.8244086286	1.2527448715	1.0392831297	0.8064038797	1.095993329	0.0102946716	0.7837203836	0.9520015441	0.9951638701	1.1437020708	0.4933184913	0.8595930158	0.6091444241	0.8135423143	0.7548003949	0.9754526337	0.4210765568	0.7847953489	0.9851220912	0.237324149	0.7163536859	0.9800976307	1.0251781278	0.7837353001	0.516821847	0.6965462868	0.6770118586	1.1352526918	1.2120314062	1.0739726438	0.8420906565	0.4288602036	4.0779524009	0.2772765516	0.7223939269	1.0803925377	0.6970420176	0.2923584953	0.0747235644	1.205278212	1.2890513796
14	12h	1.5450860988	0.4409836189	0.9856802783	1.3461984354	0.5440257799	0.7132701523	0.9028535328	1.305438917	1.2954622536	0.8017231949	0.8165892624	0.8633028637	0.9705781567	0.9218935867	0.9782998078	1.0451916687	0.4301235054	3.019473131	1.3544901084	0.665509666	0.7986719541	1.3862032459	0.3567112507	0.858195848	0.7737568129	0.4096129094	0.999617177	1.0937307582	0.7852401545	1.0892150974	0.6557546194	0.6846480633	0.8713989618	1.3857445729	1.3083977714	1.4253525624	1.052120858	1.4067727625	1.3152214011	0.5723563751	0.7647432855	0.7351925552	1.3320011419	0.4561326547	0.2775993083	1.4612009797	1.3432021606
15	12h	0.935547256	0.5881105882	4.4390221764	0.45814809	0.5598407483	0.5208014914	0.7234196581	1.2823574925	0.6500420962	0.7654740481	0.922922914	5.1956579291	0.7965403446	0.8565955319	1.081539765	0.946956204	0.4332732177	1.6106323569	0.8946393523	0.7376636547	0.7959494759	0.7951311897	0.3512881794	0.7084502065	1.4016193665	0.5969295471	0.6545954525	0.9891507707	0.2392538211	0.7770641	1.541771422	0.6509835955	0.507793446	0.6488455948	1.0261382411	0.929563557	0.9540876175	1.0492656382	2.3657837984	0.5825709957	0.6841021916	0.9613260426	0.861562389	0.3761964732	0.2000650591	0.7735974751	1.3667211242
16	18h	0.9570257873	1.7356194789	0.2365866017	1.0409249205	0.6479874198	1.7708074715	0.933433544	1.3745457198	1.773386009	1.0273393792	1.2989129513	24.3774900027	0.8722851592	0.9006074821	1.1548731415	1.5393335648	1.3090969167	3.1644463038	1.7261462469	0.9061956415	1.0466706979	1.4792997133	1.1489835262	0.9615112435	1.0943292168	0.5247252806	0.9824981729	0.897703345	0.6020365256	1.3161668574	0.5590869351	0.9744414589	1.1776858152	1.4436238081	1.8463223249	1.284307959	1.2380762528	0.6643775088	0.8177865939	0.5469671372	1.0244115407	1.1244548368	1.1283994865	0.6351829207	2.3723804574	1.4259767431	2.0324131203
17	18h	0.7432428709	1.1741165842	0.0474708394	0.3858034066	0.2510956361	1.3271636321	0.7889540934	1.0124162657	1.2809275457	0.5861163072	1.1090694679	0.0884167467	0.6474590302	0.8700586905	1.0741255441	1.2220259462	0.7227887925	1.7765347831	0.9827949466	0.9163866912	0.6353752179	0.9844617175	0.393298179	0.8744977248	1.2992994011	1.1316672603	0.8396926857	0.8639556984	0.4912967121	1.1299760422	0.5301689361	0.7563026971	0.6638502756	1.0085184602	1.2081737578	1.0575886932	1.0088353624	0.1603122676	0.4028224146	0.2584416883	0.8088552641	1.1740644509	0.9555805414	0.3974566149	0.393211871	1.2554805158	0.9671324618
18	18h	1.0102833653	2.280637518	0.0182975	0.3642201614	0.3989842288	1.8756141083	0.6923135103	1.0466793218	0.682353195	0.9469232695	1.2547268098	0.0075736492	0.7617487864	0.8891968129	0.9873754724	1.4286208389	1.113587131	3.0544174168	0.6352332981	1.0905673587	0.9852273452	1.2578045474	0.7465973973	0.8146570515	0.7285004604	0.4133683165	0.7001744517	0.9278568539	0.9511385454	1.1171152671	0.6530091925	0.8919843061	0.8863470067	1.0471902733	1.276399939	0.8936635657	0.9877320225	0.4564104851	1.5122526808	0.300035242	1.0706890703	1.0240190549	1.0459201364	0.3471791319	0.438357299	1.438459521	1.3756762103
19	18h	0.821168076	0.892842607	0.3343961239	2.3522658146	0.3951527042	0.9814513352	1.011306535	1.0263629553	1.2801243188	0.6376280954	1.1797328736	0.1855135217	0.8967362926	1.1665725002	1.8915808234	1.1998095283	0.5536369936	2.2986523006	2.4928792458	1.1031079946	1.649824849	0.7298878691	0.2610078313	1.187047904	2.574249345	0.7228029515	0.6919520177	1.1890698875	0.2124257256	0.9177638048	1.7078085228	0.808866408	0.9140187201	0.9556806928	1.4001934954	0.9787793612	1.6252079194	0.8528007659	0.3627825218	0.4034470222	0.8527378623	1.2703968903	1.2461285207	0.6898970642	0.7885723103	1.1724925687	0.9909292011
20	18h	0.995227327	0.8752680769	0.0152905855	0.0913813179	0.2221926657	2.4074022099	0.7500301767	0.8724391202	0.3209197681	0.8541034554	0.6321979258	0.0052315296	0.8661921991	1.0680781885	1.1514663682	1.3326449651	0.4913834155	11.3369788924	1.3012119527	1.6075799929	0.5614914289	1.1001620967	0.2377101315	0.9955496236	1.9655392947	0.1181987021	0.6816410583	1.2553123502	1.8856285936	1.047432219	0.3486010424	0.9049078898	0.8605116143	0.679021069	2.1082434929	0.6043842782	0.9504088668	7.13311670154695E-005	0.3838591047	0.2515854205	0.8927598853	0.98184124	0.9946433035	0.3391399627	0.0394899245	1.7970971971	0.8448753606
21	30h	0.9151402636	1.2796133034	9.0694276521	1.0285184756	0.8174569943	1.2527214902	1.0442207865	0.8242455851	0.8028814348	0.7325409368	1.2450256598	3.8643437573	1.154398548	1.1717534382	1.1333316839	0.9593636739	1.4614815227	1.3571334769	0.8971056636	1.1384159993	0.616489325	1.0220849694	1.3382948508	1.0545369797	1.6925141059	0.6519113986	0.8121716434	1.0666035544	1.2657407512	1.1423933035	0.6270920721	1.346901655	1.267899738	0.9227438238	1.5143076593	1.0618083371	1.0024953269	1.7355850695	0.2374718585	0.5748523869	0.9398379045	1.0623431651	1.296114383	0.8389451265	0.7080555671	1.4153244473	1.1954438427
22	30h	0.9153196496	1.5138921747	0.720007354	0.8589605978	0.6472024063	2.4024211386	0.9426796326	0.6382110462	0.8110179254	0.960314233	1.1640042568	0.6723953432	0.9335190399	1.2057992517	0.969127733	1.2180724452	1.560749705	3.4691340682	1.0013629998	1.2089124552	1.1866265688	1.286211195	1.2100440111	0.9467990585	1.0046617623	0.9187864127	0.7913432942	1.0910075765	2.5471722866	1.2734941766	0.7485995016	1.0685617436	1.2798275837	1.153858506	1.1436950108	1.1118157258	1.1210267512	0.2726381547	0.9648280764	0.6624333366	1.0973546215	0.9599401514	1.1199999251	1.0556578938	2.1124261984	1.878251882	0.5589326824
23	30h	0.63738438	1.5139842119	0.1377279723	0.9782267195	0.5492630724	1.9246825283	0.7616050378	0.4599983377	1.8153686423	0.7838032227	1.0110303479	0.3477389688	0.6316079346	0.981230069	0.8312382182	1.5807041603	1.5713873505	0.565967859	1.1168291245	0.7898873592	0.6182115117	1.0288803111	0.9260749035	0.9352115603	1.1950878364	0.9638477273	0.8568159311	0.9326965705	0.0795326081	1.2294858241	0.4320672422	0.7693860164	0.920516709	1.4892342979	1.0122781161	1.4798210715	1.1829249076	0.7688473039	0.8877919046	0.5620226499	1.0285699324	0.8327124471	1.1634143955	0.6089506946	1.0115833738	1.1262618848	0.6311727391
24	30h	1.0636296674	0.9311162429	0.0161773588	1.7064779292	0.7182068174	0.9848302922	0.9060080803	0.4552935216	1.7013425528	0.6767492607	1.1590170427	0.0347911357	0.7023039108	0.9059053973	0.8864513187	1.0622048011	1.5938853983	0.461299028	0.9554040872	0.9496692168	0.9196636422	0.8172984026	0.9036665597	0.5735675001	1.2513104405	0.2997850507	1.0629614929	0.9346526005	0.223418117	1.0148799526	0.4709703437	0.7842701893	1.2474747676	1.2549747034	0.8787287114	1.1662295993	1.2681547882	0.4439850167	0.4031343132	0.6560787365	0.7523069496	1.2432849396	0.9122126805	0.7914543971	0.5905897062	1.3611589355	0.6607269756
25	30h	1.1712627999	1.2144386659	3.2789213865	0.6017182217	0.1678190889	1.8999299117	0.929990641	0.585766554	0.7229162779	0.9123790607	1.2630220611	0.0265866291	1.3193958151	1.1690820371	1.0134506869	1.5052609469	1.4953560593	1.3573603712	0.9587671714	1.0725117985	0.6533141292	1.1822553713	1.3052517303	1.0401888544	1.4400849375	1.0133766896	1.131695194	1.2545496256	1.4748446916	1.1330373825	0.8140253223	0.9058625411	1.282333044	1.1920387795	1.5311290679	1.0192646088	1.3902512064	0.0004608785	0.458442545	0.2914223197	1.2375829097	0.9722864875	1.2644779233	0.9423985193	0.1587211059	2.0107338213	0.9369108437
26	2d	0.5448799836	1.5787792325	0.1154396826	0.2199019115	0.7373448153	0.897650528	0.9758596215	1.0849998492	1.5037725438	0.6622839086	1.0992718514	0.0711122939	0.5917332032	0.9749078328	0.8788246031	1.2759913475	2.2442222574	0.6061940869	1.3024272619	1.0791507906	1.0902254871	0.7293680092	2.4188956136	0.9064967887	1.7567659054	0.199333989	0.9710914436	0.9093041052	0.3235414804	0.8982835499	0.5540292594	1.0235337313	1.1444112625	0.867346377	0.8646771366	1.1449057421	1.1275397226	1.219638287	0.377511216	0.5573198289	0.8423646803	1.1974784628	0.9701195403	0.9084507196	0.3779828838	0.8319529859	1.5038807362
27	2d	0.474053662	1.326126549	0.0949464835	3.0510953694	0.4105563292	1.4678170771	1.1433047409	0.5398599037	1.4403188504	0.4523502726	0.9247550986	0.0665529721	0.6376502964	1.0926960317	1.8897069169	1.5168255375	1.9309099745	0.4103782437	2.0361538795	1.2412581551	1.4224558255	0.5008262613	1.9117382494	1.1017864162	2.4575088348	0.6564524176	0.7533587453	0.9535405522	0.0264006278	1.1745436555	2.3007731663	0.9492792838	0.9149051491	0.8010423484	1.1191113681	1.0977413385	1.3983655776	0.581046921	0.2534041608	0.7854437024	0.7516456664	1.8125488586	1.1870639692	1.4433691157	1.116661668	0.7447995347	0.870744478
28	2d	0.7814212258	1.7638839385	5.5591021662	1.2973405913	0.1376495122	1.0503929606	0.9903117894	1.0419324989	1.5874860905	0.7521817809	0.8314198793	0.0361684192	0.5490958273	0.8524989902	0.9708260668	0.9536455904	2.1734715199	0.4276336228	0.7521954453	1.131887315	0.5150014898	0.9246551343	1.9966675577	1.0912690089	0.2708374023	0.9407480474	0.7796846244	0.6538653709	1.8918010291	1.2448443361	0.3221171697	1.2809865153	1.0350386198	0.7619014489	1.1425456232	0.8725196389	0.7896811926	0.9379272926	0.6185224998	0.7252520796	0.9610105645	1.3621987277	0.8229896084	1.2592592504	0.6823051766	1.0065960292	1.5278397824
29	2d	0.7423228603	1.4279936118	0.4378600168	0.4549496419	0.3955754999	2.1741115854	0.8263281302	0.4443116663	0.9724349374	1.5847263839	0.8819030702	0.343794681	0.9627638393	0.8776830762	1.0495203923	1.7324226838	1.1295381683	2.8210495677	0.588110284	0.8899047723	0.7413051228	1.2682595601	0.9904579402	1.1954054853	0.6347759057	0.3784092502	0.8174352299	0.8741148843	1.2674526896	1.198456943	0.3670815041	1.029266483	0.948808767	1.7266446209	1.0518754969	1.2097106585	0.7237078153	0.5530783884	6.5504878899	0.4855944617	1.3156293797	0.5921643261	1.0210399176	0.3141378813	0.1219918929	1.5221288044	0.6022893267
30	2d	0.902786391	1.0993632396	0.1527593931	0.4485451248	0.4121027222	1.5616603924	0.9529950281	0.7917737842	0.9465317396	1.1478252113	0.957964314	0.1376121934	0.8444703928	1.1345500057	1.1446248202	1.4850606225	1.4782271668	0.6462112056	0.84284029	1.3368314559	1.0467945081	1.0149279172	1.8874234593	1.4571707466	1.0786627823	0.3349910494	0.752158578	0.9970981908	1.5143990404	1.1307861839	0.3378031152	1.3137823799	1.0805572731	1.1761441349	0.9720551785	1.0951709994	1.1460146436	0.3054520032	0.8599317602	0.6747478609	1.1469069954	0.907089283	1.0871127324	0.6888756235	0.1039357561	1.6698973908	0.9528588996
31	5d	0.6008619247	1.4429806896	0.0399786171	0.6062914849	0.2722734021	0.8019737681	0.8113626671	0.5073527453	0.6417683117	0.5896770699	0.9672609697	0.0255320748	0.8922106168	0.9123961889	0.7961150526	0.7906916249	1.6607059582	0.8553187621	1.041374547	0.9432105171	0.4855660048	0.5575970338	1.6128092714	0.9552409192	0.2972545208	0.4686027061	0.844842515	0.8784245536	2.116639188	0.5757151465	0.4036233904	0.9532379241	0.7975307072	0.7440503227	0.5311773851	0.8201349798	0.8545854127	0.1114276147	0.4148453093	0.7935187728	0.8421212368	0.9166110473	0.8032739621	1.3018943974	6.5756659266	0.7477550014	0.7269841293
32	5d	0.6509884487	1.4980519368	0.0443316775	3.4959425885	0.6741670251	0.6297337837	1.0626701966	0.3895806207	1.405610833	0.6540400814	1.0646079685	12.1590443151	0.9227655718	1.2333069639	0.9864095294	1.1707020144	1.7733887903	0.0917014183	2.1843546215	1.4342518515	1.4794472473	0.3773405764	2.2993152777	0.9226776094	1.6907130703	1.0613162967	1.2054241801	0.8267857198	0.6430569374	0.5294495655	0.9601288915	0.967084336	0.9618701694	0.6495003236	0.2247786507	1.0670239907	1.4412077826	0.2506045962	0.2357720734	1.5784073987	0.907428755	2.4391008455	0.8787508431	2.3926913053	2.1330688612	0.486538274	0.5962136536
33	5d	0.5077800089	0.8627187244	0.4432329693	1.588895985	0.2138824333	0.3801661382	0.7793867024	0.4982079953	0.6157820717	0.4346085181	0.9537848866	0.3946197672	0.7086157764	0.8454477586	0.6814559073	0.6165321759	1.4202589466	0.0967370965	1.0279462989	0.8984751623	0.5848450599	0.3868675971	1.4710942896	0.8281802732	0.386895242	0.8084340043	0.8112737537	0.6601616707	1.1606438175	0.3867047631	0.4017738945	0.9310132458	0.8774987117	0.4405468616	0.241813215	0.7498771692	0.8554975637	0.1282396541	0.1239131302	0.9713162852	0.8318757351	1.1254733418	0.5547797218	1.6911298748	1.0525223529	0.4985006496	0.3580814535
34	5d	0.8952369801	0.9549144021	7.5740268193	1.7342345553	1.3276544214	0.7732337797	0.9467223835	0.6424512896	1.7198244021	0.6509082429	0.6978648707	6.5841060353	0.995697308	0.9720943571	0.6403861594	0.9306829151	1.9157551752	0.1955411604	0.9672437	0.8460396394	0.335319463	0.5901043432	2.7887757645	0.8520962303	0.5480727768	1.2247427706	1.1173260485	0.7829068777	3.4871695124	0.5839699284	0.5130795348	0.7972384083	1.073159356	0.9507007642	0.3221423968	0.8810125942	0.6290580478	0.9479714779	1.2749350008	1.385536331	0.9965723797	0.976398678	0.6248186311	1.3543423271	0.7405293666	0.723247718	0.4417085234
35	5d	1.2653993087	1.0944404489	0.4560851078	1.5276957593	52.4868647431	2.0910804463	1.5061999947	0.7441098501	2.1991748958	1.6792200898	1.0051997886	659.4854382268	1.4070912699	1.5660204286	1.1369289406	1.2722726741	1.6245562122	1.7028365288	1.818996117	1.8954380234	3.4918141476	0.6361593743	2.4113816602	1.037350495	1.4457403322	8.79566255	1.6173490105	1.4120770623	1.816794256	0.7010889131	4.2866778911	1.3924592914	1.3749535924	1.1064956714	0.7192476919	1.3692744495	1.729898638	76.200533941	3.197292953	5.513887477	1.282656274	1.4152877044	1.2924576434	3.6433937072	16.4350695617	1.2554864811	0.4995393054
36	14d	1.0690759503	0.8555655854	0.7657043714	4.7341905586	78.6981990433	2.0855040266	1.6719781033	0.5851422429	3.4220687554	1.8683088109	0.6196852259	1256.5814063165	1.1883738705	1.1468784931	1.0725783728	1.0998566975	2.1359961417	0.4195582466	1.0806930136	1.3208052271	2.8298259154	0.8328609009	4.8040998549	1.3397142324	1.2026241258	15.1054543573	1.5545236943	1.2473101916	4.3187570447	1.3066974139	3.9347152805	1.2819540733	1.5106777729	1.7142015322	0.7032657656	0.984970005	0.9431930446	130.5671164452	2.5990142516	8.1940850785	1.4110803763	1.2248738948	1.0344514692	4.7161977684	15.4619616889	1.3509725438	0.413016777
37	14d	1.1632258911	0.7924038633	0.1798717765	4.9206605274	14.4085708934	1.5044862676	1.6231610179	0.4351820079	3.118844697	1.0614470194	0.4887703155	204.1178075374	1.1174503924	0.9276581413	0.8980777145	0.9131664412	1.5897516375	0.1507693773	1.2112983432	1.5704196325	1.730474561	0.7992529128	2.9127547104	1.1145673509	1.1455839132	6.0405269872	1.6067149847	1.1033130695	3.6000836777	1.0166063712	3.1214129707	1.0703743542	1.4126149434	1.5079141758	0.5334718243	0.9303033047	1.1658581589	21.443192682	0.6263787506	4.4214328564	1.067297776	1.6653167963	0.901130256	5.1806053444	8.3638355784	0.8850148987	0.4549211704
38	14d	0.908546299	0.8977058874	7.3786255387	2.8409740737	0.9944575651	1.1302834068	0.9271772709	0.4827385967	1.5593131478	1.0612795406	0.5950613451	5.9548165671	0.7945154872	0.7704633437	0.7695143642	1.1132692707	1.7584047226	0.1353233389	0.7057532587	1.2685825965	1.1846755312	0.8964275084	2.9564512056	1.0492678734	0.7521289516	0.6820052205	1.0643863623	0.8398827059	5.4195516529	0.9567712462	0.8782987907	0.8539918174	1.3902198972	1.6701494933	0.3926099506	0.9255883118	0.9169085915	0.7050033606	0.4725409853	1.3095135463	1.0954733995	0.8513661418	0.7679369798	1.7969645307	1.5864282302	1.0146817516	0.440413318
39	14d	0.7040999079	1.2014128191	0.0434664062	2.5809820306	0.2639158183	0.5212077392	0.9197497619	0.5357178055	1.1023006394	0.6003080919	0.5961388697	2.9650611905	1.0054344864	0.9196145957	0.667550354	0.6757530073	1.258044203	0.1269399881	1.0712559714	1.1965456532	1.110455163	0.5766382509	2.1095542971	0.770367185	0.6880670666	1.2400293692	1.3107272705	0.8698266502	3.2942599399	0.6891168668	2.6073595829	0.9262961054	0.9758294109	0.8793668229	0.2632922273	0.8454854389	1.0161925857	0.0043760873	0.5304076672	1.1075261507	0.9431228093	1.8186417944	0.753061942	2.9428855205	1.6209944238	0.5136742692	0.6370794132
40	14d	0.5053401954	0.7998334548	1.7601680527	2.9377473715	0.2330875139	0.2750696799	0.7278431273	0.5675768284	0.661355251	0.395921223	0.7747986363	0.0062570422	0.6540531799	0.7903906443	0.5954414313	0.6123127508	1.7249540947	0.0521913858	0.9303827775	1.0446884653	1.0477909505	0.3737018096	1.971231055	0.5606659142	0.4063432226	1.9962196271	0.9507256349	0.6177965638	1.8501857421	0.5053979127	3.9460055014	0.9597971421	0.9616041298	0.5317215381	0.1323763374	0.5557129736	0.752209674	0.166055589	0.3960231967	0.8201360905	0.7657285916	1.4945141908	0.5408404101	3.273959076	1.9968327856	0.3415826629	0.3625654049

