sid	time	Ccl2	Ifnb1	Cd86	Met	Il28b	Tnfrsf1a	Il1b	Il17a	Cxcl5	Cxcr1	Ifnar1	Osmr	Tgfb1	Ifng	Ccl4	Ccl5	Ccr3	Il1rn	Il13	Tnfrsf1b	Ccl7	Osm	Cd69	Il10rb	Il2	Cd14	Cxcr2	Cxcl1	Tnf	Il10ra	Il10	Ccr2	Egf	Hgf	Ifna1	Ifnar2	Cxcl2	Mrc1	Ccr5	Ccl3	Il6	Actb	Il4	Egfr	Ccl8	Cxcl3	Il6st
1	0h	0.1003556957	0.4463208748	0.4402455335	0.916082043	33.1855969734	0.5228112115	1.0460940388	0.0153479465	11.7142152679	0.2809636269	0.8533932583	0.2129366116	0.6002078188	0.2840991704	0.2860151384	0.3843312571	0.473279046	0.2944293912	0.0019633584	0.5498058827	0.1240298301	0.2133157846	0.6357171669	0.5799947451	4.1472981216	0.1708046583	0.3923735163	0.0428480369	0.4831138382	0.6176296322	0.1598258314	0.1896076736	0.3868188875	0.6045697249	0.6131019727	0.9278476619	0.0590280057	0.7698034559	0.3387653812	0.2962801864	0.2239026347	0.6054759494	0.2319727747	0.7602516691	0.4426595781	0.09425581	0.6307841915
2	0h	0.2651288023	3.0115539806	0.7060369524	0.9415660269	18.3271018021	0.6507947676	0.585939152	0.0072038706	0.2246111976	2.2489036366	1.0205141502	0.4968246177	0.8158335439	4.3078614289	0.5352389359	1.3007319198	1.6108825262	0.2212562939	0.0009215422	1.0807756268	0.3357534865	0.4385292457	1.6211419933	0.8185371085	181.3872780887	0.1161627464	0.2690578508	0.1094526961	0.6291746899	0.9092554115	2.1567829167	0.4061322765	1.491481258	1.2971741525	3.1212844235	0.9058901036	0.0900179757	1.198815986	1.1270531892	0.5745744262	0.4757876977	0.6047936129	2.8140200376	1.73090455	2.6528712384	0.4419752013	0.8069620827
3	0h	0.1054820061	0.0540670758	0.4698218661	0.7184671355	101.9082930948	0.3890994957	0.2440387396	0.0281691791	0.0578967565	0.0153200984	0.771602102	0.0942365582	0.5902467438	0.6655557394	0.2162861183	0.2929085085	0.2604641918	0.0965183592	0.0036034915	0.828905603	0.0378451495	0.0447562313	0.4919103925	0.3993238359	29.6030522016	0.0615821944	0.0588608206	0.0241466334	0.1574281106	0.5520506429	0.2752512041	0.098070357	0.4479231082	0.559325955	0.0247584774	0.8030225802	0.0135164377	0.6783500933	0.4041096256	0.0968318207	0.109421241	0.7386116657	0.3592124291	0.8768508842	0.7637744063	0.1265916504	0.5570757559
4	0h	0.0450557363	0.2495428274	0.3817657351	0.6399614261	122.1589357272	0.3981577061	0.2019824819	0.0158573848	0.0081907138	0.2411638412	0.5783710933	0.1930137441	0.5998145482	0.3608750977	0.1763952239	0.3125091685	0.3665262271	0.1140558388	0.0020285274	0.6430487889	0.0695158898	0.0956342651	0.1926348946	0.4672399264	14.6410131749	0.0954320143	0.1723153209	0.0571733268	0.1685402202	0.5214281898	0.185455612	0.1281238202	0.3070584248	0.4599137852	0.3110199017	0.7186343605	0.016148141	0.9370891137	0.3480791256	0.1094782592	0.0766786826	0.4216135667	0.3774467156	1.1429867046	0.6497891012	0.0365772433	0.5349927012
5	0h	0.046607484	2.6927746785	0.4099533762	0.7211455099	59.6174518066	0.4622256043	0.3702740944	0.0154845717	0.0179772175	1.795846711	0.4888368779	0.183460107	0.548939881	0.2014463329	0.0885631459	0.2900391621	1.2657987462	0.1007741887	0.0019808359	0.5993825777	0.0229237971	0.10908146	0.4122571924	0.4721482227	4.3829600317	0.0925998165	0.2400448638	0.4644624618	0.2587112325	0.4867739279	0.1475958652	0.2144761343	0.4971187684	0.4630141238	3.2976866144	0.7130803269	0.0407096315	0.6582852095	0.4617837913	0.2312982111	0.1386145956	0.4602785504	0.2709975544	1.1540862462	0.0463769981	0.0868853261	0.5721315552
6	6h	0.1032293826	1.8188918702	0.445604573	0.4960250545	0.0041158496	0.9624443608	0.2806837104	0.0138878209	0.0335413162	1.25855881	0.7051158347	0.6639522254	0.5259839479	0.2009852944	0.2191855617	0.2902058779	1.0002712534	0.1359400072	0.0017765745	0.5608974286	0.1424071716	0.1495952632	0.2240747076	0.4993971301	8.2339553406	0.2087299357	0.2299135793	1.0891567595	0.1895197926	0.4161663533	0.1852284631	0.1746649711	0.6730903497	0.80897273	2.6754121137	0.7415538499	0.1787366498	0.9598937316	0.4550149876	0.2146618065	0.2006133003	0.6938841092	0.3102076472	1.9365552191	0.1096233913	0.0449653266	0.9734205366
7	6h	0.1732119736	0.5256692752	0.486921818	0.4173235106	0.0038514969	1.0383995774	0.2706623401	0.0129958344	0.0337908461	0.3051327331	0.6762884723	1.0202414503	0.4270587698	0.2428022366	0.4450083012	0.225783506	0.2553422349	0.3223451617	0.0016624687	0.4040773431	0.172041	0.2270219596	0.1751060713	0.4791852816	2.7650789522	0.249449112	0.3580808136	1.1861435218	0.2538721652	0.2561956901	0.3229580188	0.1355783045	0.4092962065	0.6688454318	0.6379514328	0.6775335313	0.3557212737	0.5895930286	0.2854782401	0.5432184541	0.2180932984	0.7127387426	0.2204910096	1.6408173813	0.0805995741	0.0711587684	1.01969065
8	6h	0.1518709738	0.4574396362	0.3195265496	0.5642585251	0.0036723176	0.9861691306	0.3022171955	0.0123912422	0.0529917769	0.2177732369	0.6209149907	0.6321415336	0.4320882565	0.1463823277	0.206991028	0.3723023527	0.2388957794	0.2005492025	0.0015851273	0.6884366112	0.1347614358	0.3941538176	0.1462444489	0.3485029153	6.5118154959	0.2646832945	0.5071622546	1.5581238309	0.1953457723	0.2915696673	0.3133713518	0.1258114826	0.6279633147	0.5306610384	0.3936086312	0.6905447097	0.9258548356	0.5921091623	0.2765430979	0.1051332341	0.1778935091	0.6297558206	0.1702609575	1.7527554317	0.0829687944	0.0659610006	0.8392792854
9	6h	0.2074305996	2.5083939119	0.67936652	0.6860082133	0.0063823954	1.2164204989	0.3861607678	0.0215356666	0.6523768344	2.1387032449	0.8583600384	0.99599792	0.5656906071	0.3198635369	0.4000109535	0.2488143537	1.4841334791	0.4888469883	0.0027549114	0.791438952	0.307551285	0.339801297	0.3180190395	0.4867839798	0.2304673161	0.3654016711	0.5975159875	2.3771285892	0.301946893	0.546055472	0.4122735722	0.2303260462	0.8939101034	0.5820924449	2.7622638777	0.6756759176	0.3799812975	0.805279353	0.4489414549	0.6349892537	0.4393281486	0.8089739767	0.0005574763	1.9414302195	0.1370604643	0.2220563905	1.0631249001
10	6h	0.1595106505	0.7463886692	0.4576377456	0.9557939167	0.0035465836	1.1027887987	0.3159152161	0.0119669867	0.2178686795	0.3794545055	0.7511738783	0.9706436428	0.4666347902	0.0042549753	0.279400325	0.3044445365	0.3600262507	0.2710032531	0.0015308552	0.4833833009	0.392075299	0.2470046254	0.2905672941	0.4686996479	0.2885715836	0.1934921885	0.3059682137	3.2549285404	0.2048124181	0.3897555509	0.3000465335	0.1874601199	0.5992380117	0.9212357844	0.4274912421	0.8255649422	0.6565744483	0.827098471	0.3208233692	0.3367270149	0.3285043913	0.7310945147	0.5468823303	1.6350304558	0.099591379	0.5271593414	1.0905838949
11	12h	1.8296749741	1.3891476738	0.8080997199	0.9946936666	0.0043570005	0.8609670873	1.5149431201	0.0147015195	1.1195115396	1.1805455262	1.0259346333	1.043981606	0.759546054	1.1295852022	1.4576487777	1.1608120044	0.6742778174	1.6641490212	240.5056747035	0.8701860672	1.4868838249	2.0486914619	0.7363998868	0.9814180688	46.6333607814	1.4009949615	1.8699292275	1.7130951826	1.424734279	0.8641679684	1.0540492119	0.9266937468	1.1788708117	0.8429868549	1.281832351	0.8509490849	5.4503442907	0.656328522	0.9560497089	1.4352330869	1.472631578	0.8442772447	1.6412286879	1.0460655183	1.0601421115	1.8603449324	0.9094436403
12	12h	1.0308629111	0.548562568	0.5738256887	0.9790156362	0.0072909362	0.6228053066	1.1936413972	0.0246012918	1.1580339657	0.5570335044	0.7954080918	0.4569353827	0.5856560085	0.8981127764	0.6610190189	0.396717583	0.7428263252	1.2210559473	14.4081976369	0.7051136185	0.9795059467	1.0624398535	0.3759932609	0.7361991349	51.2078427364	1.1037067892	1.2912784778	1.0044357405	0.7764873708	0.415264231	0.1275314346	0.615701145	0.3257044185	0.6756225171	1.0509544703	0.8921829791	4.5934368562	0.7087906379	0.4034608917	0.547225791	0.6522042253	0.781357793	0.1264567082	0.9839545843	0.3570880481	0.8471766672	0.8735284364
13	12h	0.363497376	0.2583845396	0.2635034035	0.8193158457	0.0041968086	0.7541536301	0.2949342332	0.0141609951	0.1226630844	0.3610807009	0.6838848047	0.5084388767	0.3055545616	0.06303103	0.2772068891	0.1811400003	0.1679059737	0.8785956183	5.8396186787	0.6867536474	0.3232319943	0.3785713785	0.1497052593	0.548328254	13.8729630448	0.6467570665	0.4960000074	1.2679773836	0.3528752744	0.2621406734	0.1706794148	0.1894368183	0.4264021375	0.2950900254	0.3552903652	0.6283133012	0.8091913461	0.4078056674	0.2367488547	0.2647516249	0.1608413793	1.0399175782	0.3297691975	1.0399371767	0.1173528707	0.4686398826	0.6949596477
14	12h	0.5142703642	0.4540234895	0.4674550031	1.4050839489	0.0037885987	0.7677615942	0.862790218	0.0127836012	0.2142094697	0.3518925293	0.8445553172	0.5132558966	0.3908557721	0.3830176586	0.4978331027	0.3389035965	0.3923323264	0.9692869718	10.5422619985	0.7487448473	0.559195117	0.6669035162	0.3565245612	0.6223477417	7.0893068602	0.5716527504	0.714595276	0.844037321	0.5382306953	0.409214926	0.1770128322	0.3675527552	0.3412798268	0.3394224729	0.627933385	0.9102221024	2.3943595803	0.5370960835	0.3329474792	0.461275183	0.4064820382	0.7320751669	0.6990680305	1.0903933596	0.1132878346	0.4801485462	0.8986389628
15	12h	0.3866276625	1.0457612957	0.4146284428	1.1321835397	0.0060398063	0.8000737655	0.4026665763	0.0203796923	0.2195911367	0.1239566842	0.8991307247	1.346912287	0.4252422789	0.3369714946	0.2197519044	0.2424990937	0.1142887605	0.8197547416	8.4100122901	0.6306838522	0.43761227	0.1873367292	0.2580978473	0.6996184959	42.8314399648	0.4159193076	0.4777468906	2.8926470412	0.2349045393	0.2857749327	0.0737132421	0.2698360317	0.3985826518	0.58485957	0.1337773374	0.7858212815	0.826891688	0.6057302577	0.3459707219	0.2145202742	0.4743079806	1.2583265267	0.6438444431	1.4218980205	0.317573917	0.3089844019	1.0736768365
16	18h	1.9725828241	0.9065191075	0.5455438488	1.2082940145	0.0080748106	0.8621551432	5.3065284678	0.0272462638	3.74436035	1.0526686935	1.2281367949	0.5181975805	0.6855415055	0.5043343137	5.0267577392	0.6093303525	0.9273069256	1.1043700164	29.1367558617	0.7791292473	3.5922136585	1.5592747926	0.5790717495	0.8506024816	0.0011071542	1.4027005855	0.957725963	3.4337370634	11.1736005893	0.6480889599	6.9118728972	0.6710932456	0.2974081237	0.5242466948	1.6045958362	1.2717037314	6.9119617581	0.5788438402	0.3581572027	5.4750909648	19.8231256034	1.3712894928	0.562680709	0.7419255022	1.67503084	4.4838165165	0.9966652227
17	18h	0.9352510058	1.3291118924	0.5287646825	0.9121373063	0.0049500786	1.0179673605	0.6560724557	0.0167027008	0.4846897008	0.9915785284	1.0243631476	0.7224216648	0.4959300919	0.4690529025	0.7142740535	0.3568257872	0.7175293736	1.0791395648	6.8895860122	0.7380280854	1.4780399441	0.5693379685	0.2329485742	0.6688745155	0.0006787157	1.5846092556	1.033891052	1.5552281714	0.5629139513	0.4355575625	0.2779729387	0.3567139658	0.4958600687	0.3206352054	1.1758656182	0.7847964231	1.2857111601	0.4161386531	0.4027460342	0.7053464554	0.7107091872	1.1943248355	0.33348628	1.0540117719	0.0420690436	1.7588861702	0.9042391177
18	18h	0.569937206	1.8801501754	0.3877923334	0.8076586322	0.0081348603	0.7229882567	0.6517971477	0.0274488852	0.2005902039	1.8246660573	0.8683824263	0.2328795695	0.4262510085	0.3178841605	0.3996834352	0.3187648495	1.5285195282	0.4721839612	1.414894218	0.7579459377	0.5524723621	0.7061775046	0.3650645697	0.49089575	0.0011153878	0.6971125176	0.5150110141	0.6263332563	0.6275664007	0.3409983288	0.4100355262	0.2680743092	0.3047228237	0.2851033323	2.9943884383	0.7819104493	0.623742789	0.3474994216	0.2201464313	0.6251801244	0.9723732725	1.0449367445	0.394382028	0.7402551157	0.0832346841	1.3295143446	0.6669763477
19	18h	2.6662836284	0.2055226693	0.7663411073	1.2239656265	0.0058282373	1.3664273749	1.4794697985	0.0196658099	1.2225586106	0.4457974889	1.1625172337	1.1615975309	0.6380392969	0.2437130634	0.9712244646	0.3756329123	0.3218754978	7.50909291	16.3481861906	1.2163801224	1.3843179555	2.0727845983	0.7374526584	0.845311162	0.0007991218	4.5516209535	2.9842727786	6.3657984812	0.7987760671	0.547006655	0.2802152895	1.0311214798	0.8241165214	0.5945554839	0.5443171381	1.2634545553	11.7286342698	0.4453985705	0.3897452485	0.9088837066	0.3015464302	1.3727411044	0.1979308161	1.5696879268	0.3143036821	2.0269227662	1.2977403904
20	18h	0.2853988788	0.1424587421	0.4097326363	0.8583986635	0.0057161636	0.9418226984	0.3068641953	0.0192876476	0.1939498525	0.2942363163	0.846370379	0.5510345863	0.404495336	0.3460291623	0.3313648493	0.2999038418	0.2441427999	0.7050286598	7.9756131635	0.8189571546	0.2904606225	0.2761539262	0.3233205865	0.4997047247	0.0007837552	0.5897934212	0.44972218	2.572133746	0.1489055351	0.3444114777	0.0834475303	0.4009431103	0.7964600536	0.3334727361	0.3581985194	0.900766997	0.327414718	0.4090135063	0.2550750254	0.429041262	0.1458031336	0.9288157061	0.481391544	1.0732818554	0.4680032467	0.1844544507	0.7999964794
21	30h	1.0427935002	0.6862124455	0.8742732181	1.0228252786	0.0058550414	0.9922117286	0.7644039058	0.0197562532	1.2285943494	0.6687947381	0.8178154059	0.3466525856	0.7615560754	0.1795996999	0.52358794	0.5629122134	0.4203044562	0.8442134471	0.0025272831	0.8031493384	0.6728955699	1.0822591712	0.3653801535	0.7433890298	0.000802797	0.9290819634	0.6067462488	1.9972231136	0.4581415249	0.5261990259	0.0545468883	0.91605669	0.3460542752	0.5327370329	0.8819712666	1.172007998	1.7027529593	0.5992640885	0.5757320654	0.4505085369	0.4043658202	1.0623693597	0.2623326209	1.2254543466	0.1207322462	0.9138645558	0.9520655704
22	30h	0.9728874983	1.2249475981	1.0590368652	1.0278688812	0.0058912859	0.955402233	2.13831632	0.0198785504	3.0751417744	1.4738055094	0.8439224312	0.5706097596	0.8623958336	0.1861625441	0.7370477283	0.8141399481	1.1154466244	0.9936657979	0.0025429278	0.9308734582	1.1454616685	0.314059619	1.0388543232	0.94404564	0.0008077666	2.2383784167	1.1270084551	1.4430594791	0.7562343548	0.9406643305	1.9638769551	1.1052689634	0.2930094553	0.5029595809	2.0073073172	1.0646613028	1.0267970912	1.1309328061	0.8614940531	0.8026843703	3.0779930182	0.9640477849	0.1958644044	0.9700254463	1.5364280627	0.838342537	0.9239953575
23	30h	1.4830959716	0.365947731	0.7704985377	0.9201164476	0.0042562614	0.9459053823	0.6781474173	0.0143616025	0.8964067736	0.2830539572	0.7882600837	0.7472520645	0.777668464	0.1463261942	0.5809418377	0.4733024123	0.3744024617	1.2051696165	0.0018371821	0.901808564	1.3928806009	0.4577772417	0.1438223881	0.7117060325	0.0005835849	1.5241615795	1.0389509832	1.1653858396	0.8168010451	0.5306824359	0.5750135123	0.7055506163	0.2773912065	0.6227397957	0.6689087453	0.9575117237	2.1738582437	0.5913822019	0.4681960762	0.8282814902	0.4384689792	0.8262916022	0.2548196669	0.7747151038	0.3694663961	1.0147228557	0.8044666435
24	30h	3.7123740104	0.2819140303	0.8181308635	1.2772537847	0.0086764851	1.176655293	1.0629031784	0.0292764515	2.2106931294	0.2782483073	1.1162464023	1.4575521161	1.4404821287	0.4368661352	1.1959946628	0.873142115	0.2282960474	2.2976299441	0.0037451373	1.096347763	3.0924538397	0.2913740217	0.3268951548	1.2972627034	0.0011896511	2.3384638488	1.2522756971	2.4606273754	0.950207842	0.6545548851	0.2509002744	2.2412400342	0.297926673	1.7662343104	0.3892842989	1.3226933821	2.5501054302	0.8707375482	0.5444255807	0.9801644768	1.0525575533	1.3882996201	0.3338679723	0.6483968691	0.9510299383	1.1190718239	1.4293980626
25	30h	0.9748027	1.6926116387	0.6753372866	0.8736121332	0.0052763522	1.1779903884	0.4068260383	0.0178036231	0.8917030505	1.2597330191	1.0075628324	0.2777782775	0.7377108433	0.4232408082	0.3904473421	0.4983096021	0.7287358865	0.9384089768	0.0022774964	0.7907242658	0.8142138738	0.0866279944	0.4256389051	0.7359633098	0.0007234517	0.9420965668	0.4420291155	1.3768195122	0.7753990611	0.5430318098	0.2564236811	0.4608147367	0.5844919939	0.3929806865	2.2873862554	1.0937002215	0.4678082618	0.4643839739	0.7736536987	0.344896583	0.3790027543	0.9285443364	0.2263091775	0.8188026704	0.3555380351	0.2780194601	0.8258285594
26	2d	1.0526482209	1.0869114172	0.9661061112	0.947407788	0.0106601309	1.2359672539	0.6942821622	0.0359697277	1.0362305144	0.777986949	0.9803424874	1.0707421265	1.5045177276	0.4233743336	0.3857601897	0.8759911309	0.7584791578	0.8288616898	0.0046013626	0.8469758288	0.6262671698	0.3459426905	0.7412873759	1.1554459885	0.0014616329	0.9385026726	0.5874319017	1.8874965788	0.5044382121	0.6590219957	0.0330000971	1.4761358392	0.4051259747	1.6123284362	1.9659857	1.1622056719	0.3934827846	1.0778937573	0.8030147764	0.4220679308	0.4172507875	1.3125182918	0.3236109437	0.8256227738	0.1596324874	0.3062423681	1.1501861541
27	2d	3.931342219	0.1231346204	1.0610875059	0.7862096259	0.0075999135	1.6208353418	1.3820293417	0.0256438519	3.085770276	0.3129868586	1.0918098591	1.8075497116	1.6230635164	0.2115153174	2.222005806	1.0415994549	0.311678589	6.5202679871	0.0032804436	1.1882774861	2.4568610587	1.7454426682	0.3618462256	1.3617118017	0.0010420401	5.2249974246	1.7985104392	2.2012190052	1.3611818554	0.9961759566	0.4984770889	2.5509785967	0.4323194684	0.9370485617	0.1561956315	1.0902792574	4.6363952567	0.9227223014	1.0255257304	2.3509666804	0.6448911295	1.5241528414	0.6455582298	0.7709992359	0.1017947486	1.8763050178	1.269134791
28	2d	2.4525914215	0.1546588922	1.4837080525	1.2465653993	0.0021192625	0.8828432539	1.0158181245	0.0071508778	2.8948989614	0.6175705062	1.0133268789	1.0071692586	1.4745153919	2.7033840623	1.5729218685	1.9620661137	1.4104022562	1.5107082714	0.0009147632	1.0871803387	1.9697242653	1.1667541467	2.5849023288	1.1918412709	0.0002905765	2.0512248904	1.9571584276	0.568654551	1.0709407397	1.6716047207	3.8576842026	4.5632040392	1.0778752946	1.1206889658	0.7090029886	1.2032137774	1.724449851	1.6022707085	2.2210305962	1.1330238122	1.2067643458	1.5054786932	2.8357750023	0.9002121963	3.7264129267	2.048495237	1.1780721534
29	2d	0.6114321959	0.7517584356	0.3359577087	0.8846466922	0.0039180483	0.6884479816	0.3751935165	0.0132203941	0.7409779405	0.4619877475	0.6054228123	0.2898478731	0.4720838458	0.1526461452	0.1693211319	0.4038026123	0.3533911065	0.7591664462	0.0016911951	0.603415168	0.4898928607	0.2000552843	0.1984175371	0.472987653	0.0005372118	0.9382196751	0.509070838	0.7517330925	0.2210017665	0.3975623915	0.2684916408	0.6006626946	0.6082313137	0.4217449964	0.7768553919	0.9861849379	0.4569521946	0.6754759133	0.2400445883	0.2866894241	0.3343536376	0.6148365188	0.0698863624	0.5655592806	0.0638975507	0.2222224781	0.6023811398
30	2d	0.8598968022	0.0373803275	0.998359851	1.1111585154	0.0074767464	1.2110547179	0.4270471913	0.025228258	0.5986072731	0.100579678	0.9336697004	0.7456077571	0.8077306049	0.315037137	0.3889194598	0.8241783803	0.4489033543	0.8967020233	0.0032272795	0.8768443467	0.4982454739	0.317381818	0.5639525859	0.8278517023	0.0010251524	0.9394154352	0.4536033246	2.3953127926	0.3226354343	0.6480213066	0.342949659	0.9299564361	0.4882664653	0.6870664921	0.1971785332	1.304431494	0.4096675674	1.0707696359	0.8133458465	0.3260611996	0.1799116079	0.9618234494	0.2709271439	1.2552629835	0.0744417867	0.1971956581	1.202422503
31	5d	1.9789908919	0.0498710886	1.6900061656	0.855915348	134271.168735098	0.9014926217	0.8181674524	28068.3277396076	4.6252552118	0.222503946	0.843200059	1.4793893057	1.567457532	0.5977261269	1.1838596786	0.6715974532	0.3600542127	1.5862820647	3589.8267927258	1.0184734751	1.4318350758	1.2777347132	1.0729242454	1.3781534431	0.6016355489	2.1989280371	0.754592956	0.4017452494	0.9137102448	1.6244063029	0.5515158781	2.5637975115	0.5703011903	1.806992543	0.0204257143	0.9351739379	0.647405423	1.5789260219	0.9789146222	1.2433333328	1.4981956687	0.9678382935	0.3159791094	0.5231675026	0.3133687737	1.1115485714	0.9583091866
32	5d	5.9027671033	0.1102693425	3.5739988735	0.9642378712	162902.473359335	1.2863719587	3.8444381714	560714.893402819	7.5308271805	0.4771422879	1.9174508728	2.3915723963	2.9334434507	0.377904997	4.5795864473	1.6301237877	1.2324074879	3.3249250591	4384.38171547	1.5747234093	4.5085807333	2.5155925015	2.4288250542	2.8408855595	33.392670677	4.8930754837	3.0968898402	2.2011014795	2.767319961	3.1008198399	1.0955149744	7.2807608291	1.0180681379	2.1576825784	0.0028144581	1.6429678491	2.863073075	2.2169647579	2.3030667447	3.1125454523	1.5245962862	2.6240241561	0.9570623767	0.7437936811	3.9675943475	1.8609082098	1.6176897117
33	5d	7.9873231727	10.6115642646	6.0406760772	1.6176649289	42784.9338188465	1.6652847924	4.2092016019	170732.410899445	16.369558789	13.6426897419	1.720327888	6.1267906056	4.3647370049	85.3922152701	13.7155120523	13.3528593126	11.5570398206	4.4187584396	21086.9093073539	2.2740969587	13.0077422703	27.9176336808	27.3264960741	3.7176656119	6111.1278427142	4.4103894265	7.3787054796	0.8409061992	11.4329838661	8.3245040945	66.7389668146	12.2996512156	12.14997354	5.1555151664	5.3521824905	1.2256675577	4.9740190971	3.0415053042	11.187270029	10.6297941182	18.3803376406	1.3451096012	84.6633271952	1.0165653368	125.2504110415	23.9457552939	1.4994731814
34	5d	7.6565855939	12.436201994	5.7255463089	1.9448827005	52812.5198601752	1.6686597688	3.5504161855	191758.581890459	13.477942894	14.3387080137	1.5139306672	6.5413217902	3.9911586359	97.2033927247	11.2668082984	14.4813110307	11.3652164579	3.6004556427	25446.7833949758	2.0677651994	11.246930806	30.4447398776	28.4235242748	3.3097585858	6301.1372509379	2.6526388356	5.6520693246	1.0905987877	12.2679830702	8.3084028269	78.9604705984	11.0791021283	14.0177596819	5.3419710111	7.1495710026	1.2215387009	5.1119965991	3.4215018026	12.8821538485	10.8849055705	18.1921636152	1.2036276291	106.2496242537	0.7422486401	149.2897524046	24.4470720148	1.5483340512
35	5d	6.6406250963	26.7400044642	5.8854954013	1.7268398809	51019.6777688107	2.1481578078	5.0600610826	231967.315405882	12.1185477549	26.4255410578	1.7955459565	7.87447014	3.7860034994	100.9003974474	11.2868451783	13.2096265724	15.2561031667	3.1989106645	29188.3108695161	2.5677016824	9.7066458914	31.4697267286	28.5159016713	3.4426226173	8092.5200585076	3.3556498386	6.0878580018	1.0478086713	11.2382405193	7.9337560415	92.1742378319	10.481236487	16.8827707791	6.5723211239	21.0870086364	1.3682436792	4.7167763623	3.188623258	15.1977661845	10.793664725	24.7357532138	1.4545264082	115.8188172556	1.3289153238	193.2857684536	31.9325184991	1.7216027511
36	14d	9.5267235313	29.25330501	6.0443770755	1.9491763243	77189.3506526389	1.713188312	6.1289683827	289184.854763571	21.2909513986	27.4997312635	1.9158860695	9.1460818961	4.6056421545	162.9676755136	14.0949725117	18.9953174349	20.1133567865	3.8902153199	42653.1645608945	2.4416125207	15.0508903762	45.6514499204	39.377820671	4.2024028126	12243.7553288695	5.098168038	8.5777463772	1.3189893886	17.8391235235	10.9692281561	123.8253448761	15.3185894089	23.5265018042	7.1741748684	21.9766792003	1.4551133346	6.6082550912	4.2417134997	18.4794331744	30.4688682257	29.8678669555	1.3378183275	170.0223872491	0.8477426768	233.1377065536	41.9978480215	1.601755827
37	14d	13.3452707488	25.1121006816	7.821935219	1.9452059069	129045.516693833	1.9496686285	9.863149086	384841.820023655	25.4136887101	31.8205848063	1.9833368053	11.7735117261	6.0522499798	195.0220785892	23.5065783252	32.0158744191	24.8084664102	5.1318587645	52698.686792362	3.1216803761	19.6775002528	56.2192041552	53.7402630615	5.0044138258	14868.7427349842	6.0537231774	10.9657443027	1.6162511005	25.0681610979	15.0431619606	165.8203379795	20.1521063058	29.829779115	7.7545101137	14.9331536017	1.5684546294	8.3105060401	4.6241604123	25.759830754	22.1312202666	38.769443587	1.5703361015	207.5473106482	0.7465016464	312.313595048	46.9686816833	1.5814271267
38	14d	7.6535347326	14.5670032341	4.0811941031	1.4051036334	35967.5839386951	1.3432573267	3.0479854287	151525.949010423	16.0490201908	16.1662804586	1.487720506	5.6274746304	3.0461365358	67.4891802541	8.5437756388	10.3575366595	10.5015391841	2.453652943	17743.1481419206	2.3651663137	7.8701936667	19.634201842	19.3215093431	2.8623275777	4975.1065894012	3.224603581	4.4338697423	0.8326317927	9.0381900997	6.0656957252	54.8093007062	8.6047867723	11.1964552058	4.388115804	11.0621688594	1.0731657273	3.2942663929	2.4862191823	10.3863257149	8.1434517115	14.0884809897	1.0246613879	69.2706479586	0.6921979948	91.9765522578	16.3530155834	1.1637874212
39	14d	11.4343686703	19.9323609352	7.9054074958	1.4871002245	65051.2116388675	1.6750600133	7.757214313	258172.095443653	22.1707768274	21.0188811372	2.2272606798	8.5060373646	5.3308627453	115.4078934458	18.7029598427	35.9207447536	15.0120241777	4.5327286984	31449.4777108553	3.0869392924	13.9015023642	41.6093289255	39.0473735233	4.7857965385	9206.7339867994	5.9960627522	8.4119061309	0.8985555966	17.0269039282	13.4268492294	84.3440182817	16.5672691471	15.5865367431	6.2435157963	11.6419567435	1.4947234638	4.8022534678	3.7214704206	19.5815450605	16.0130653831	23.1879928226	1.6946087145	117.2216552177	0.9391764815	182.0317168574	26.760419646	1.6294492089
40	14d	11.2890187689	11.4124582894	6.4707084491	1.0989710713	25607.6595650995	1.6051363494	6.5697896751	106627.103745626	16.4565402573	12.180349063	1.6947471776	5.0403890959	4.745514662	67.2935216781	13.6428807223	21.4104116275	10.2244546516	3.8948360822	12399.1598273384	2.8012022707	12.3917146638	17.4187226254	19.2604431824	3.6910578929	3242.9471614189	6.1584634432	4.6599687752	1.1155066866	11.8662045755	9.8194891841	46.6745986423	15.8522389309	7.4170564129	3.5885174777	8.4949083928	1.2620994761	3.2752809782	3.1306892977	14.0543751424	10.4327319926	13.1797343623	1.7695614541	53.9660228156	0.7191422751	73.3315393917	13.5010643961	1.1586115934

