sid	time	Pparg	Edn1	Birc5	Sparc	Col1a1	Col8a1	Igf1	Fasl	Bad	Tgfbr2	Rarres1	Lama1	Timp1	Nes	Bcl2l11	Pdgfb	Xiap	Notch3	Cdh1	Timp2	Wisp1	Bak1	Gdf2	Pde4a	Ctgf	Notch1	Tnc	Bax	Cdh2	Pde4b	Fn1	Smad7	Mki67	Prom1	Ch25h	Pde4d	Acta2	Pten	Tgfb2	Mmp10	Col4a3	Act B	Col3a1	Cyp2e1	Rps18	Smad6	Col6a6
0h	0h	1.5908772643	0.5185768243	0.6321118952	0.7720125428	0.475520709	2.0991794162	1.1387865429	1.0710773737	0.6998947592	0.7927794796	1.2615414911	1.8267452538	0.0630736346	1.2841492665	0.9318489653	0.6287155944	1.1255217995	1.351567651	0.6911380236	1.0136339471	2.2624339572	0.6330020312	1.5064084461	0.8687915459	0.5910520845	0.9378997795	0.9600094499	0.6492192316	1.1308931792	1.4443257463	0.5965129183	1.7608583009	0.4812932794	3.3273982678	0.3142995946	1.1024229391	1.9551405083	1.0673219086	0.3958310526	0.0015826853	1.7464586713	0.6885187023	0.8554739754	1.8954740913	0.88189338	1.1260397126	1.0180234312
0h	0h	0.5893369025	0.7932667264	0.4695766343	0.6779940862	0.1803278183	1.0989876974	1.0717215817	0.1814351409	0.6533061273	0.6300030997	1.2104651262	1.8188007963	0.0652075554	1.5510362615	0.7343964553	0.4368818276	1.0320361713	1.1073410724	0.7641992412	0.9029224577	1.7375463605	0.6542206904	1.8413857418	1.1050183386	0.4496078777	0.9921365433	0.5048587294	0.5624733558	1.148294478	1.0709427282	0.659009809	1.0572992405	0.4326474423	0.3734559422	0.4191825512	0.4838014187	1.839422432	1.0274521629	0.4494472864	0.0010152412	2.045501209	0.6096619339	0.4806922705	1.9345611691	0.7498328109	1.1478611814	0.3442479433
0h	0h	0.7895587612	0.2446153337	0.7002646943	0.808088942	0.1863211443	1.1142984863	0.9614829781	1.8838112723	0.7622580126	0.6637939466	1.4589164728	1.8258496732	0.0857595371	1.1754767512	0.6683713726	0.41955434	1.3281123887	1.2364032425	0.8144616985	0.7999117242	1.8093594759	0.8101744811	1.6970317174	0.9525535888	0.576017557	0.8477475014	0.2942376395	0.7373775954	1.0004152379	0.6638438185	0.6856614814	0.9016587533	0.436920357	0.3262984283	0.0923233798	1.0121101798	0.1835786867	0.9779052678	0.2944013847	0.0018057087	1.1053260844	0.885852862	0.4973265698	1.7931666176	1.0338925815	0.8996664427	0.1696240346
0h	0h	0.7518003074	0.5993028831	0.5782087761	0.9062300459	0.653473755	1.3304909655	1.0785919871	1.8853949664	0.6684476092	0.9450319215	1.0819731652	1.735434584	0.0759247426	1.344430764	0.6921848876	0.4635278809	0.8790662804	1.7444272852	0.6292981207	1.0614239954	1.7280566366	0.7334898278	1.7719420299	0.9230660324	0.8156935559	0.7601269157	0.7371807228	0.5570422446	0.9022116372	0.5385510355	0.5900381497	1.0569902423	0.3801351848	0.6774149975	0.1311084019	0.4878829883	1.1137741968	0.8374626068	0.6038365414	0.0008601196	1.8595149176	0.4775871714	1.0281476353	1.6663419784	0.6901575875	0.7040464266	1.2954294138
0h	0h	0.6445762693	0.3840214396	0.6547411482	0.6797671564	0.5434431793	1.1553762194	0.8311228812	0.4497872203	0.7241729571	0.7440180249	1.3154333288	1.5351146294	0.1143221309	0.8752632309	0.5433020464	0.3682392642	0.9201031203	1.0195069743	0.661527991	1.1006729096	1.0386293896	0.6645763557	2.0534721262	1.3661888652	0.6211366733	0.7022758832	0.6566654778	0.5642995744	0.9550591702	0.7674172622	0.6641113272	0.7816625823	0.6126214469	0.3563976873	0.8688468773	0.5743719861	2.7756047768	0.8724147355	0.3991685179	0.001061527	1.5667974896	0.5347980804	0.894721823	1.2176378618	0.759278597	0.6680139313	0.3690054505
6h	6h	0.6209865561	0.9245150563	0.9239635561	0.9469384262	0.3587469128	0.5324850443	0.8797051813	0.9254519632	0.5921169999	0.6568601153	1.9985359691	2.1649664036	0.3611136515	0.4222525605	0.6115202563	0.5960972626	0.7648303611	0.8738528911	0.5650433484	0.9216053436	1.4031256743	0.7270132023	1.9975622653	0.6496996339	1.70058768	0.9553891653	0.3957581244	0.6539473331	0.758455461	0.3019214167	1.2071281338	1.2740959598	0.9643720957	0.230151837	0.9490160221	1.5190871736	2.5211282082	0.7727203333	0.5497646144	0.0053221275	1.7625458832	0.7538441878	0.5100931852	1.1967543104	0.8396167673	1.0201376755	0.4801819413
6h	6h	0.5261985901	0.8173200264	0.2323110536	0.7478310539	0.180328879	0.5652833155	0.9369311132	0.5764401832	0.6198225516	0.6883964728	1.5683834181	1.1560003958	0.2562428171	0.3534897251	0.7711977325	0.5751661797	0.7603858735	0.7353196733	0.4420847	0.5721897519	1.0337833811	0.6882205249	1.7667057639	0.3220441737	1.3352676915	0.570350956	0.2155633415	0.581092409	0.5144696729	0.4795765343	0.9118629508	1.0393649228	0.231068616	0.1641763076	0.8499999874	0.8644537149	0.6549682655	0.6329344825	0.5922841693	0.0022829873	0.1850620892	0.7769359099	0.2855685871	1.0761048413	0.7854863339	0.7740144159	0.5824574659
6h	6h	0.6112560236	0.7623661271	0.4623579757	0.7160268586	0.3231533934	0.3674964371	1.0184098728	1.4301591512	0.7987887657	0.8224374761	2.6095614315	0.996703696	0.3442026987	0.2744313201	0.6522494718	0.5100558904	0.6593943214	0.6105496045	0.5713820583	0.6602755283	1.1726005342	0.7441642705	1.3506666073	0.4150235352	1.563018151	0.6140187662	0.4101690535	0.5063186346	0.586986617	0.673481636	0.9727111799	1.9099621916	0.4380902296	0.1792375619	0.7476448627	0.6516539049	1.0457454741	0.7037831274	0.5106463289	0.0086136267	0.9903732873	0.6608654399	0.372765176	1.2276335886	0.7913788293	0.7167063489	0.7721914731
6h	6h	0.6966793528	0.9257860344	0.5913694257	0.6828369889	0.2391534519	0.570539061	0.8224932791	2.4098494304	0.8611059574	0.7189328667	1.554966083	1.0261179742	0.4214475903	0.7125656684	1.1586417914	0.6734462451	0.9543540411	0.7407179823	0.7200000502	0.726657411	1.8403189862	0.9025731467	1.0522510634	0.7461953764	1.2765785136	0.9246215368	0.5863901048	0.6633010808	0.6893619853	0.6391975164	1.1634255501	1.4409157149	0.4690355394	0.8920943166	2.0412506815	1.0055401368	3.0680319092	0.8156057452	1.0522214918	0.1700557951	1.765644003	0.9054635947	0.2349410624	1.2441046648	0.7275755312	0.8323137581	1.166849217
6h	6h	0.490777375	0.7258325092	0.2758432574	0.5857276511	0.2450574667	0.4103032896	1.1669428336	0.4459228649	0.5667112294	0.6387981495	1.2583486286	0.7506838715	0.1289243225	0.3858458487	0.71979644	0.552955529	0.8912931789	0.6263556072	0.3024544327	0.5994828736	0.3400551813	0.6357118587	1.2159846949	0.4255533894	1.0291624289	0.6821730868	0.1403489703	0.5452639815	0.6511097983	0.517484411	1.0069026093	0.9027582358	0.3355494021	0.0989035089	0.4663317906	0.9419235085	0.3882046941	0.7997889889	0.3670074754	0.0949471296	1.4040481142	0.7431552915	0.3228867671	1.9676559996	0.8084001118	0.8417656606	0.3544256666
12h	12h	0.8906029328	0.5008250484	0.4559811293	0.5011100838	0.2177606209	0.293622966	0.8730787573	1.3550583292	1.4812624852	0.961528306	0.7898322724	0.5459331093	1.0639930417	0.2679659555	1.417082579	0.7340324905	0.9958321779	0.3764919815	1.0481128816	0.6692805786	0.7258643066	0.8721318313	1.1416603203	0.9795413881	0.6744855277	0.7860571767	0.3657740783	1.1570359476	0.8421584792	1.4527664128	1.4680096489	1.3138171331	0.2750810678	0.9371624366	0.6749504646	1.0845996913	0.7165724637	1.0436750571	0.871266297	0.0044679801	0.9844277576	0.9168671995	0.2239094866	1.1158236071	1.0478428778	1.0238128144	0.7156868263
12h	12h	0.8435813076	0.9580057542	0.3795531844	0.6150707902	0.4223318934	0.7147749355	0.8738518754	1.0330882417	1.2578825434	0.7849011341	0.8421187541	0.8237801841	0.5384114874	0.6953588308	1.2393583142	0.7248490308	0.9102076836	0.5200112091	0.8253167219	0.7423849824	1.0649672286	0.7546296938	1.3094010683	0.897034447	0.7071166604	0.6970985081	0.7264551664	0.8779987184	0.757247564	1.1916216824	1.1348146511	0.8319077929	0.2910275495	0.4946350414	1.348847551	0.7938208327	0.7893209287	0.9279955887	0.9522890955	0.0099970097	1.070745388	0.7619862304	0.4052226432	1.4258032574	1.0326156113	0.6531521815	0.8073434713
12h	12h	0.9177864683	0.3624362459	0.3267927344	0.2568585157	0.0702493492	0.1097705557	0.8304578372	0.8994846716	1.0392241413	0.7909241809	0.7280557424	0.1491873809	0.4676271282	0.3524920263	0.9431752473	0.5120647843	1.0160706743	0.2292717131	0.7944473481	0.296134601	0.169139219	0.891096621	0.4820214693	0.5629257901	0.3397670658	0.5470226726	0.0728942963	0.876106916	0.6513945494	0.5369162482	1.3264517388	1.1977498381	0.1620875809	0.2701806635	0.561192808	1.1311632705	0.2665257701	0.8296075934	0.4993169897	0.0498340323	0.1915931907	1.1826484251	0.0496366051	0.7177267359	0.8863943754	0.6368900882	0.9758902918
12h	12h	1.3087169651	0.7752234566	0.5444409035	0.4682186102	0.1684934849	0.3999489949	1.1540286776	2.1410261101	1.5579519579	0.8981402523	1.7901670586	0.6395615197	0.4661975086	0.649296252	1.8036183367	0.8830358896	0.9909168273	0.6127491787	0.8066262027	0.5533848639	1.0426497368	1.0830351406	0.5684031897	0.7456501283	0.6853869399	0.8005618076	0.2166802305	0.9360782567	0.8886543529	1.3361723624	1.3659195614	1.2962742408	0.3748485537	0.5128911639	0.9640207553	0.90856148	1.0226527632	1.0629803501	0.9492902088	0.0113926321	0.6254470595	0.7474465557	0.1590858876	1.3886154761	0.988186601	0.7028247229	1.0865305505
12h	12h	1.0364012208	0.6414263128	0.3243038016	0.5066224147	0.1460839235	0.7613157333	1.0512824624	0.7475208039	1.4254404805	0.7733757405	2.587714799	0.4779268619	0.9200413221	0.8267750277	1.4538912169	0.7594628555	1.1096412619	0.587004102	0.9909757508	0.4627040925	1.3764041524	0.9343812934	0.7230256927	0.7574298447	0.6112689881	0.7457487588	0.2591063359	1.1279911988	0.6967537622	0.6654438824	1.6690732973	1.3201104664	0.2748135028	0.426529017	0.4947383018	0.9254516001	0.2301042248	0.8781770887	0.8091640011	0.0458056029	1.6414091662	1.1326228197	0.1470127343	0.806108668	0.9581804205	0.7933814821	1.5836142627
18h	18h	1.3234392792	2.0253968968	0.4839118314	0.8577700681	1.1139147212	1.2959634933	1.1495660371	1.500422869	1.535501984	1.1916390794	1.3732388251	0.4402629893	1.7483586885	1.7284686751	1.9167337874	1.6041236814	1.1445054586	1.2616542737	1.5418832055	0.9539592441	1.5129280119	1.1531897917	0.5216250473	0.9490388339	1.0738024497	1.222121866	1.0934643401	1.3589737733	1.381562828	1.9903177799	1.4340696604	1.8981668358	0.7450468907	2.0226246117	3.0039263175	1.3106899242	2.4158964237	1.3041738478	0.7629667111	382.2080197686	0.0002237675	1.3769600702	1.1307861102	1.8089274125	1.5695608522	1.3214347538	0.9697788115
18h	18h	0.9575838104	0.6840528324	0.215214104	0.2593186815	0.1802196582	0.1214753572	1.0533248428	0.3821862401	1.2875627253	0.6001734452	0.8917602	0.1827033767	0.661901029	0.2884701897	0.7016741148	0.5256350158	0.9930444199	0.1745629991	1.0708064757	0.3324302144	0.4269818871	0.6321014087	0.3342684516	0.6767095832	0.4234506374	0.7215587639	0.1863698828	1.0089229138	1.0401174791	0.6778404633	1.5066103014	0.9605682699	0.1474456807	0.3447643135	0.5373969003	0.6319398232	0.9167452256	0.9487979349	0.3913776073	71.9974604155	0.6291436654	1.225144832	0.1248938125	1.2931621487	1.2909175059	0.5410140523	0.6278918561
18h	18h	0.7891932723	0.7283221029	0.2861968731	0.2428731097	0.1691862496	0.0212335901	1.058499128	0.1600248798	0.8812735733	0.5941960203	1.2408350938	0.1824698472	0.7240073535	0.4859953989	0.9628486957	0.4126297677	1.0783507464	0.1750605782	0.8709390892	0.3730043635	0.188413915	0.7828092398	0.285675216	0.6978147302	0.3329349693	0.6884583834	0.2764571508	0.8592887834	1.0298191341	0.4416951174	1.2148988653	0.9519613544	0.1515578683	0.1870826934	1.2823662166	1.2119250283	2.1610829956	1.0716785239	0.3734594607	363.5475093484	0.3415120404	1.0918810652	0.1196538287	1.2434140474	0.9303514807	0.652937293	0.1766016607
18h	18h	0.6774968748	0.8720499585	0.107486856	0.3262832589	0.1061440121	0.2136347674	1.283840134	1.1558455054	1.1619633566	0.7730589267	1.0622545418	0.2439057526	0.4723324053	0.3045806082	1.5572896768	0.74781313	1.1938522574	0.1718920325	0.8347618796	0.342693758	0.5621231326	0.941870972	0.428697424	0.8194537107	0.3958500336	0.6564472272	0.2377965859	1.0952455144	0.9094794632	3.9825327065	1.6737888623	1.6635328954	0.1681464506	0.5292693409	1.6615005418	1.1758932233	0.2964467682	1.1555910369	0.4452413034	4971.4472909736	0.2769579716	1.3365050353	0.1479507479	1.5345397175	1.2111386526	1.2774608342	1.1324127056
18h	18h	1.1791942461	0.3136865612	0.1416214061	0.240916286	0.1115765125	0.1426658795	1.1598879016	0.4104621418	1.0953712468	0.436559277	1.2529849872	0.3101877426	0.2449334923	0.1784540681	0.8761373073	0.4667221444	1.1772666435	0.173416672	0.507944034	0.342722652	0.0573830122	0.7126742367	0.392487452	0.7340475297	0.3195927873	0.647130223	0.1761050999	0.8585910629	1.0183959881	0.5228897228	1.318029849	0.7786472924	0.1804370225	0.3222811612	0.3069960922	0.9773828077	0.2401867657	1.0285296439	0.3364031188	3285.6088870653	0.324620103	1.0713283537	0.0938819244	1.980470658	1.158190398	0.5677069955	0.643464127
30h	30h	1.3024264031	0.4213106235	0.9306873171	0.4922436343	0.6814735883	0.1219818439	1.1879039847	0.1861333378	0.9466278102	0.6509493744	0.8792848665	0.2365555404	1.0480821632	0.843082293	0.7774399986	0.7343977699	1.0530651025	0.2902659602	0.9356274105	0.5624235945	0.6847681948	0.7707479254	0.3785493323	0.641492059	0.3389653296	0.5451136077	0.6013310802	1.0510611124	1.07081537	1.4508593637	0.9716680909	0.8184853541	1.2821388983	0.613146143	0.7268668652	1.0525631559	0.7640367047	1.0793977552	0.4204082169	4.3787270879	0.5196806967	1.0441403125	0.523315789	1.7289938769	1.1482921357	0.529204401	0.3654188537
30h	30h	1.5371869283	1.2372715837	1.8791954793	0.8037897562	1.3799953548	1.0012265302	1.0180455424	4.3388591072	1.4832309123	1.0249016788	1.1290349168	0.8004487495	2.0252850738	1.340331412	1.2609543731	1.2846793526	1.1539593852	1.1398874805	1.5888505156	1.1571395701	2.2877611982	1.2046752985	0.9378789815	1.4423021503	1.2316173232	1.1611220567	4.1489633986	1.0302503428	1.1547238695	1.1008582295	0.9915476409	1.3494666114	2.0659127758	2.1720412282	1.8846240082	1.2223706388	2.9540152428	1.1031633914	1.3256275457	0.0511613427	5.3900187832	1.0178439651	1.048926362	1.4028412928	1.1492714894	0.965671146	2.2678908557
30h	30h	0.8703803949	0.8213390954	1.1718373416	0.8504142358	1.0647970053	1.3878219131	1.1417031395	1.1734455141	1.3369650213	0.9826195255	0.8786019505	0.638765683	1.6440172414	0.5559918426	0.7914278615	0.6630294308	0.9028178447	0.9047622511	1.5027404609	0.755254271	0.7765823278	1.0674234088	1.246824726	0.9962701265	1.002700496	0.7864917118	0.8822280335	1.032050117	1.0055731061	0.868750318	1.1084737402	2.1452232378	1.0080015688	0.8413860481	0.8869318899	0.6426724334	1.0130680991	1.0465270401	0.845783558	7.3371742908	0.7201074622	0.883032708	1.0779667974	1.1545159354	1.1911722003	0.8779178309	1.283531704
30h	30h	0.9802995059	1.2543471465	1.0110531905	1.5810456078	2.8374482414	2.4711804254	0.8086020264	1.7648001986	1.4655931047	1.4318540332	0.7050616655	1.8213192158	3.5127495648	2.1407171746	1.4448506542	1.3572160464	1.2019118984	2.4038686187	1.9207182199	1.0326498594	1.3439906049	1.2127705743	1.6204844132	0.9808682691	1.1469928408	1.1009787563	3.1491240259	1.53499419	0.990620879	1.3840110833	1.0850023319	1.4663822602	1.2845176558	1.3924824374	3.6112255317	1.0858645832	1.0611581158	1.1976410656	1.5412534279	2.8131447612	3.464063655	1.3332177727	2.8629757455	1.3726914913	1.3895858009	1.1123752643	2.426895216
30h	30h	0.8593261284	0.3841184971	0.6526606535	0.3345208771	0.6594043281	0.0948110443	1.1234243069	0.5188628823	0.9988258926	0.7447176921	0.5179855203	0.3192131344	1.2377044953	0.1732198983	0.804474595	0.6635728499	1.0886869251	0.5116614023	0.8361477114	0.4036549749	0.1937521259	1.1341376523	0.5811356553	1.5587375197	0.2335378252	0.8753225395	0.1006626205	1.0146265678	1.0644091855	0.6329757771	1.1338808765	0.7683613555	1.1149620569	0.4097546593	0.6271973156	1.0660454049	1.0951695801	1.2503476973	0.4885440199	5.8642192634	0.3793244759	0.9664879888	0.4415615456	1.9923785375	1.3957586744	0.6504482701	0.2664664878
2d	2d	0.891929544	1.1139928633	4.5940912467	1.6657065391	2.9294071668	0.9412527854	1.0983117096	1.1160946351	0.7747940563	1.1012313136	0.475625997	2.6646463699	1.617759477	1.8853904948	0.6044381343	1.300011308	0.9838748706	1.3460805091	1.351949741	1.0704119933	1.4836565658	1.2521464691	1.8107475395	1.475111131	0.8485098595	1.6458751259	2.2869976676	1.5955020296	1.2760139986	0.5405850187	0.9274355649	1.3310735878	5.7229709984	2.3826765328	1.1395425653	1.3301162935	0.8823107295	1.1846514083	0.7057330809	3.1092780875	1.0876680948	1.2641406579	2.1189619527	0.7627569071	1.0510644843	1.0307624107	1.5034669824
2d	2d	1.1798953067	1.5575909713	2.7739705497	1.5911057313	5.1031945201	1.9146615485	1.2130267216	0.9541352422	1.0536696984	1.1760219228	0.3428623643	1.0621164216	4.2233412854	1.9087976578	0.8515944434	1.6087413871	1.1950143652	1.227760192	1.3549782706	1.116190678	1.7789286881	1.3419506038	0.634732282	1.2307463263	1.1272263329	1.2709359289	2.8881021786	1.7673430257	0.9299574801	2.3204525551	1.3266727603	1.5289885898	3.950361653	2.7023287317	2.824807273	1.1050361444	1.2711411701	1.1998525354	1.1944084214	24.8276563438	0.9209707597	1.8415651967	3.3826293048	0.8178801432	1.312799884	1.2545441346	2.0102933976
2d	2d	1.3038104849	2.0271389107	4.7408727584	1.7281638826	3.3194998475	3.6590910059	1.1428180561	0.075427946	1.183150876	1.2441802368	0.786011755	1.3602994717	4.8477701138	3.8470076798	0.1721644482	1.3469760836	1.1503929829	0.6827613474	2.6406571231	2.4898584192	0.0006594408	1.2607658787	0.0006412703	0.307483802	0.445355213	2.3600944127	2.8355501095	1.0244768254	3.2027000498	1.6296149729	0.9140779444	0.000003949	5.3533453853	1.4538571813	0.3961711117	0.4484029883	0.0001739112	1.1164414796	1.158146138	27.6582967558	9.24192325413263E-005	1.3368330533	0.8119659091	0.8389581544	1.133101818	1.2800010408	0.4745060603
2d	2d	0.7831437823	0.7051574288	0.435071605	0.4439977779	1.2423332594	0.3377118534	0.9509620679	0.4780185839	0.915659329	0.7829944445	0.9705243448	0.2330047616	0.7262528512	0.472138496	0.6307981879	0.5445751103	0.8809265283	0.3149099426	0.8207639038	0.4853229986	0.1719347178	0.7506691674	0.3811805793	0.6149814077	0.6093261935	0.6599883314	0.6054057659	0.5431863489	0.9587272168	0.5512551155	0.8744988028	0.9724373702	0.379530474	0.5622081906	0.3670430017	0.8711780876	1.1593151912	0.9681879838	0.6793547595	10.4959015542	1.4569774465	0.5794915351	0.6616400031	1.4651998981	0.791177869	0.7164405685	0.2635811719
2d	2d	1.5212571947	0.9003723048	1.9906981648	1.0474224106	2.5432718272	0.5770154607	1.5280758976	1.1250441222	1.4994582054	0.9549985806	0.5722563801	0.8497895774	0.9286906304	1.0370023734	0.6603044021	0.9574804104	1.2128347515	0.5476908233	1.6978874608	0.7971510874	0.7270685057	1.1705946629	0.8650781671	1.3808152597	0.6686041998	1.1145832998	0.7735731489	1.1422109673	1.1715490987	0.7541830354	1.1865447484	0.9890069214	2.2578750882	1.3732697018	0.3319526107	1.1065697506	0.6497013282	1.272861677	0.9671127215	22.2840802752	0.2664010787	0.905607569	1.4266659933	1.778554624	1.2000906423	0.756671949	1.0120599411
5d	5d	1.1712274282	1.6973535248	5.3744781408	2.5798178169	5.6662836081	3.9360434633	0.8592369269	0.5724673217	0.8983259345	1.2225960794	0.9452498257	1.6292105838	5.7020321495	1.7141705152	1.3869477357	1.8696817406	0.9089919401	2.4037633309	0.9036268547	1.9387556487	2.4432973623	1.0503377403	2.9593159655	1.4793325028	2.0973757597	1.2239566514	4.4703981971	1.3845230067	0.9952617627	1.2568547486	0.6215830812	1.9922970821	5.3010842015	2.5684796604	1.4001129721	0.7974287732	1.221153925	0.9033547308	2.0416189029	14.6987277423	2.2475787663	0.9010125074	5.8917257167	0.5980904472	0.7910194898	1.5501475087	2.0921011169
5d	5d	1.2775109672	4.1621658355	14.4139720956	6.0347402621	19.1024764209	12.5420278041	1.0984079128	2.812248368	1.659606431	2.219131919	0.7562170957	5.446450844	11.3165158446	6.0066723316	1.715498299	4.845539247	1.7806576944	8.7928360661	2.7183949755	4.0020256037	7.7799213306	1.9180057699	3.2004618604	3.5215857856	3.3409485891	2.5039440343	15.6395981291	2.6325703802	1.5151840629	2.2964976539	1.4665786168	2.8500773574	15.3495542054	14.8798922227	6.5195984998	2.3656655185	6.612854013	1.5855272438	4.7342090808	25.3306714421	15.3319791355	2.5017269446	19.4743773947	0.4183785059	1.4746139922	2.45797852	6.3254418026
5d	5d	0.8367789935	2.0952753093	3.9066260256	3.1250478282	6.8890709391	6.1519966688	0.8470247123	1.0819480072	0.7710231053	1.5901271796	0.7690401823	3.2390333578	5.3844893307	4.1443286539	1.0512786973	2.3717426051	0.977373165	3.4358056519	1.266117834	2.0516205643	3.6477950351	1.2491640736	2.4802680762	2.0314258746	1.3895499553	1.2731477834	6.5443922665	1.3191598181	1.0553556962	1.2209978413	0.6975432634	1.391357472	5.5530163463	3.2391527873	1.7834117377	1.1669344338	1.8571170506	0.8458376124	2.4515867419	5.212061752	3.1340463419	1.1924224021	7.8334968315	0.3380012617	0.7154720751	1.339503919	1.5108690668
5d	5d	0.9431272338	1.2820249358	4.6259234591	2.7161391273	7.1207887061	2.9666868385	1.0056586938	0.839290726	0.7796764694	1.5306021343	0.5889142037	2.0630758312	2.3244638762	2.8062254812	1.0427302044	1.9009443523	0.8337897565	2.3084835227	1.1841393667	1.9575684059	2.7458594318	1.1650250538	2.0073907217	1.5921180193	1.364244316	1.1697764877	3.3335441539	0.9618436437	0.9848021051	1.0468691471	0.5759363103	1.4389152	4.5337282322	3.4284200043	1.2247980371	0.8192908443	0.7352118086	0.7928271455	2.2328345833	7.5790427157	6.958940408	0.865599387	6.2287317585	0.4058568841	0.7408429211	1.252038279	2.2681493389
5d	5d	1.1954348861	2.5546744833	6.671893471	3.1044855526	7.8556206776	4.7530760373	0.9388841101	1.0263804441	1.1098343889	1.339487918	1.055877622	3.7830258015	3.6948684936	1.5198628893	1.316851401	2.0807841765	1.2154947773	3.0099676126	1.1279609888	2.4921345048	2.2758312628	1.3704719251	3.6698671098	1.6685650722	2.9768364156	1.9193387544	4.3212272633	1.9533826284	1.3033753587	0.9141701091	1.1850673989	2.3145704392	7.1201447639	2.5818555735	1.9857876512	1.5657167058	5.5092868794	1.1405805237	2.4156799887	2.3170060065	7.2588494577	1.2485482293	7.1097692841	0.6875725764	1.1983453016	1.6924822327	3.3608076607
14d	14d	1.3824058525	2.3413902445	0.8350563203	3.2425489602	9.9095508545	6.706492344	0.9442041033	1.3035352251	0.9986911865	1.966948188	0.8575969407	1.5849014117	4.4936097956	1.5423298495	1.983127757	2.0224121735	0.6894460647	3.2182651788	0.9933110484	3.8309579716	3.1706408389	1.1116600028	2.387791726	1.1281663828	3.5748930872	1.3428633527	4.4552595998	1.0062504562	1.0762112661	1.6384856308	0.6681464453	2.5516723572	1.3086966863	2.9191409652	1.4742427633	1.0976386817	3.437911881	0.8681096907	4.1203289398	10.6050804435	3.8102439784	0.9450372034	8.5527189321	0.498470381	1.0645090188	1.9642254662	2.0267554124
14d	14d	2.1785889523	3.5134504249	3.3006741934	6.8045516296	6.6579594355	14.4363652691	0.7900363696	5.8616915821	1.1166550219	2.9068943841	0.9249249441	3.2282505928	11.6892056691	4.3241937678	2.8917413143	5.1327129142	0.9014695881	7.4689171763	1.5259698613	6.3433498601	8.8556795799	1.6377949289	3.5618709737	2.0391108875	9.4205791171	1.8437926865	15.2341776662	1.5191034339	1.1966715009	2.4497830947	0.942489319	3.4592071188	4.4096111514	9.5914410199	5.3651476904	1.3505013267	5.9304854806	1.012659643	10.084891416	42.7611446181	20.5960026282	1.5430655758	22.4406821685	0.2743341085	0.9717932684	1.9089183172	4.9227172686
14d	14d	1.4637926513	3.0107855106	1.1331352142	2.4118439071	9.2177200269	4.3136000966	1.0454796735	1.1170340878	0.8287104888	1.7539820781	0.7985417296	1.3401684514	3.4070794179	2.1646335915	1.1697240978	2.6556335492	0.6918479658	2.8614434881	0.9259479431	2.6080122848	2.5771582285	1.1151713713	2.6309198512	1.2871720454	3.6809599005	1.4101816462	4.4864413405	1.0844148247	1.2215373362	1.4903790104	0.7960563812	2.0799908644	2.0109394895	4.1134907817	1.9050423865	1.0943264566	2.0294334459	1.0567864319	5.0083177972	13.8454603878	8.7688938106	0.9155694304	7.1311229513	0.5010514646	1.0568728281	1.3316830539	1.445297152
14d	14d	2.3535822186	3.5295494862	9.2499364169	6.5781504162	21.604972204	18.2467986703	0.7883533822	9.4221296135	1.3816893773	2.4599869704	1.041828542	5.2031048083	10.501005779	4.1132480738	2.53718726	5.0133857635	1.0681883283	7.2030984052	2.0341888202	4.7225274142	7.589303117	2.3917568737	3.8985336736	2.673034596	4.7339001136	2.4092666607	15.5077662415	1.954686032	1.3901381706	2.1055303649	1.0443552777	2.6177978581	9.1344581438	8.199902411	4.6359456487	2.2692310078	4.5037457608	1.2503100193	6.6907061293	26.0190620443	14.0011730736	1.8162653655	20.4763153472	0.3850277506	1.1287801409	2.2265855373	4.9264994553
14d	14d	1.5542169679	2.3937200119	9.0727550646	4.3591662316	13.9681827171	8.2109345372	0.6245358875	9.899745821	0.9386264678	2.2982564714	0.8490525573	3.2962517562	8.9156288043	4.0662728728	1.5175282866	3.6198640425	0.9219320307	5.0224406294	1.8700732971	2.6870270452	6.090405793	2.542725616	2.5217005307	2.8089171628	4.7097541731	1.8989780481	10.2925511921	1.7857983879	0.9858364021	1.6230590482	0.7427095544	1.6673761001	7.4194667447	5.8634549274	4.1314198716	1.3656727262	4.4594001077	1.0353924412	5.7287799488	15.6108903199	24.1940534971	1.5751448566	11.3863609164	0.2635539552	0.9149312319	1.637819528	1.8188645571

