sid_GLDH	pid_GLDH	GLDH	sid_ALT	pid_ALT	ALT	sid_Bilirubin	pid_Bilirubin	Bilirubin	sid_Bilirubin	pid_albumin	albumin	sid_BrdU_HC	pid_BrdU_HC	BrdU_HC	sid_BrdU_NHC	pid_BrdU_NPC	BrdU_NPC	sid_BrdU_Kupffer	pid_BrdU_Kupffer	BrdU_Kupffer	sid_BrdU_HSC	pid_BrdU_HSC	BrdU_HSC	sid_BrdU_SiriusRed	pid_BrdU_SiriusRed	BrdU_SiriusRed
1	1 0h 17.12.09	16.3	1	1 0h 17.12.09	26.5	1	1 0h 17.12.09	1.49	1	1 0h 17.12.09	21.231	3	3 0h 06.01.10	0.0167333333	3	3 0h 06.01.10	0.3848666667	3	3 0h 06.01.10	0.16	3	3 0h 06.01.10	0.0083666667	3	3 0h 06.01.10	0.0121243172
2	2 0h 17.12.09	9.3	2	2 0h 17.12.09	27.6	2	2 0h 17.12.09	0.93	2	2 0h 17.12.09	26.092	4	4 0h 06.01.10	0.0251	4	4 0h 06.01.10	1.3333333333	4	4 0h 06.01.10	0.11	4	4 0h 06.01.10	0	4	4 0h 06.01.10	0.0188252805
3	3 0h 06.01.10	8.4	3	3 0h 06.01.10	28.6	3	3 0h 06.01.10	1.65	3	3 0h 06.01.10	23.780	1	1 0h 17.12.09	0.0753	1	1 0h 17.12.09	0.2761	1	1 0h 17.12.09	0.09	1	1 0h 17.12.09	0	1	1 0h 17.12.09	0.0138036359
4	4 0h 06.01.10	10.4	4	4 0h 06.01.10	28.6	4	4 0h 06.01.10	0.85	4	4 0h 06.01.10	17.760	2	2 0h 17.12.09	0.0418333333	2	2 0h 17.12.09	0.1004	2	2 0h 17.12.09	0.13	2	2 0h 17.12.09	0	2	2 0h 17.12.09	0.0117755802
5	5 0h 06.01.10	20.6	5	5 0h 06.01.10	33.2	5	5 0h 06.01.10	0.53	5	5 0h 06.01.10	19.199	5	5 0h 06.01.10	0.1338666667	5	5 0h 06.01.10	0.4016	5	5 0h 06.01.10	0.13	5	5 0h 06.01.10	0.0334666667	5	5 0h 06.01.10	0.0265026114
6	2 6h 11.12.09	516.0	6	2 6h 11.12.09	410.0	6	2 6h 11.12.09	25.80	6	2 6h 11.12.09	40.600	6	2 6h 11.12.09	0.4350666667	6	2 6h 11.12.09	0.4434333333	6	2 6h 11.12.09	0.1924333333	6	2 6h 11.12.09	0	6	2 6h 11.12.09	0.0136310464
7	3 6h 11.12.09	734.4	7	3 6h 11.12.09	661.8	7	3 6h 11.12.09	13.87	7	3 6h 11.12.09	30.752	9	3 6h 01.12.09	0.0334666667	9	3 6h 01.12.09	0.3597666667	9	3 6h 01.12.09	0.1087666667	9	3 6h 01.12.09	0	9	3 6h 01.12.09	0.0045187086
8	4 6h 11.12.09	1102.0	8	4 6h 11.12.09	772.9	8	4 6h 11.12.09	10.70	8	4 6h 11.12.09	19.147	8	4 6h 11.12.09	0.0920333333	8	4 6h 11.12.09	0.3263	8	4 6h 11.12.09	0.1087666667	8	4 6h 11.12.09	0.0167333333	8	4 6h 11.12.09	0.0043244905
9	3 6h 01.12.09	2220.0	9	3 6h 01.12.09	570.8	9	3 6h 01.12.09	15.08	9	3 6h 01.12.09	23.090	7	3 6h 11.12.09	0.0251	7	3 6h 11.12.09	0.2175333333	7	3 6h 11.12.09	0.1087666667	7	3 6h 11.12.09	0.0251	7	3 6h 11.12.09	0.0039145456
10	4 6h 01.12.09	652.0	10	4 6h 01.12.09	249.8	10	4 6h 01.12.09	8.96	10	4 6h 01.12.09	20.146	10	4 6h 01.12.09	0.0920333333	10	4 6h 01.12.09	0.5187333333	10	4 6h 01.12.09	0.2342666667	10	4 6h 01.12.09	0.0167333333	10	4 6h 01.12.09	0.0011765026
11	1 12h 08.12.09	1492.0	11	1 12h 08.12.09	678.0	11	1 12h 08.12.09	31.51	11	1 12h 08.12.09	24.560	14	1 12h 14.12.09	0.0502	14	1 12h 14.12.09	0.2091666667	14	1 12h 14.12.09	0.1422333333	14	1 12h 14.12.09	0.0083666667	14	1 12h 14.12.09	0.0224634512
13	1 12h 11.12.09	1206.0	13	1 12h 11.12.09	799.0	13	1 12h 11.12.09	38.99	13	1 12h 11.12.09	27.943	13	1 12h 11.12.09	0.0502	13	1 12h 11.12.09	0.2259	13	1 12h 11.12.09	0.1004	13	1 12h 11.12.09	0.1338666667	13	1 12h 11.12.09	0.0132043903
14	1 12h 14.12.09	869.0	14	1 12h 14.12.09	483.0	14	1 12h 14.12.09	25.81	14	1 12h 14.12.09	24.022	11	1 12h 08.12.09	0.0251	11	1 12h 08.12.09	0.1506	11	1 12h 08.12.09	0.0669333333	11	1 12h 08.12.09	0	11	1 12h 08.12.09	0.002460069
12	2 12h 08.12.09	1340.0	12	2 12h 08.12.09	678.0	12	2 12h 08.12.09	22.51	12	2 12h 08.12.09	22.430	12	2 12h 08.12.09	0.0167333333	12	2 12h 08.12.09	0.251	12	2 12h 08.12.09	0.1004	12	2 12h 08.12.09	0.1004	12	2 12h 08.12.09	0.0178123721
15	2 12h 14.12.09	722.0	15	2 12h 14.12.09	362.0	15	2 12h 14.12.09	27.21	15	2 12h 14.12.09	25.474	15	2 12h 14.12.09	0.0669333333	15	2 12h 14.12.09	0.1924333333	15	2 12h 14.12.09	0.1338666667	15	2 12h 14.12.09	0.0585666667	15	2 12h 14.12.09	0.0184886971
16	1 18h 17.12.09	1520.0	16	1 18h 17.12.09	647.0	16	1 18h 17.12.09	59.40	16	1 18h 17.12.09	29.385	16	1 18h 17.12.09	0	16	1 18h 17.12.09	0.0669333333	16	1 18h 17.12.09	0.0669333333	16	1 18h 17.12.09	0.0083666667	16	1 18h 17.12.09	0.0076230394
17	2 18h 17.12.09	2836.0	17	2 18h 17.12.09	296.5	17	2 18h 17.12.09	33.95	17	2 18h 17.12.09	39.710	19	4 18h 26.11.09	0.1004	19	4 18h 26.11.09	0.2008	19	4 18h 26.11.09	0.0585666667	19	4 18h 26.11.09	0	19	4 18h 26.11.09	0.0153349122
18	3 18h 17.12.09	1526.0	18	3 18h 17.12.09	604.5	18	3 18h 17.12.09	55.80	18	3 18h 17.12.09	36.928	20	5 18h 26.11.09	0.0585666667	20	5 18h 26.11.09	0.1757	20	5 18h 26.11.09	0.0920333333	20	5 18h 26.11.09	0	20	5 18h 26.11.09	0.0065707517
19	4 18h 26.11.09	3140.0	19	4 18h 26.11.09	946.0	19	4 18h 26.11.09	90.05	19	4 18h 26.11.09	24.453	18	3 18h 17.12.09	0.0167333333	18	3 18h 17.12.09	0.1422333333	18	3 18h 17.12.09	0.0836666667	18	3 18h 17.12.09	0	18	3 18h 17.12.09	0.0035177539
20	5 18h 26.11.09	1546.0	20	5 18h 26.11.09	508.5	20	5 18h 26.11.09	43.30	20	5 18h 26.11.09	24.885	17	2 18h 17.12.09	0.0251	17	2 18h 17.12.09	0.1422333333	17	2 18h 17.12.09	0.0920333333	17	2 18h 17.12.09	0.0334666667	17	2 18h 17.12.09	0.0140346746
21	1 30h 08.01.10	1048.0	21	1 30h 08.01.10	524.0	21	1 30h 08.01.10	47.11	21	1 30h 08.01.10	22.414	22	2 30h 08.01.10	0.1673333333	22	2 30h 08.01.10	0.6358666667	22	2 30h 08.01.10	0.2426333333	22	2 30h 08.01.10	0.0418333333	22	2 30h 08.01.10	0.0058615239
22	2 30h 08.01.10	331.0	22	2 30h 08.01.10	346.0	22	2 30h 08.01.10	32.26	22	2 30h 08.01.10	17.038	21	1 30h 08.01.10	0.0669333333	21	1 30h 08.01.10	1.0625666667	21	1 30h 08.01.10	0.9287	21	1 30h 08.01.10	0.0836666667	21	1 30h 08.01.10	0.0389687892
23	3 30h 08.01.10	3794.0	23	3 30h 08.01.10	1146.0	23	3 30h 08.01.10	83.98	23	3 30h 08.01.10	23.456	23	3 30h 08.01.10	0	23	3 30h 08.01.10	0.0502	23	3 30h 08.01.10	0.0418333333	23	3 30h 08.01.10	0.0083666667	23	3 30h 08.01.10	0.008466077
24	3 30h 15.12.09	2134.0	24	3 30h 15.12.09	895.0	24	3 30h 15.12.09	92.72	24	3 30h 15.12.09	20.935	24	3 30h 15.12.09	0.0418333333	24	3 30h 15.12.09	0.6024	24	3 30h 15.12.09	0.3095666667	24	3 30h 15.12.09	0.1506	24	3 30h 15.12.09	0.0113196994
25	4 30h 15.12.09	802.0	25	4 30h 15.12.09	243.0	25	4 30h 15.12.09	84.02	25	4 30h 15.12.09	47.184	25	4 30h 15.12.09	0.0167333333	25	4 30h 15.12.09	1.1546	25	4 30h 15.12.09	0.9705333333	25	4 30h 15.12.09	0.0920333333	25	4 30h 15.12.09	0.0132217412
26	1 2d 03.12.09	602.2	26	1 2d 03.12.09	473.5	26	1 2d 03.12.09	108.95	26	1 2d 03.12.09	23.767	28	3 2d 10.12.09	1.5645666667	28	3 2d 10.12.09	1.7821	28	3 2d 10.12.09	1.4725333333	28	3 2d 10.12.09	0.4016	28	3 2d 10.12.09	0.0065288137
27	2 2d 03.12.09	1083.8	27	2 2d 03.12.09	976.9	27	2 2d 03.12.09	144.20	27	2 2d 03.12.09	23.768	26	1 2d 03.12.09	0.9705333333	26	1 2d 03.12.09	3.3717666667	26	1 2d 03.12.09	NAN	26	1 2d 03.12.09	NAN	26	1 2d 03.12.09	0.0095174053
28	3 2d 10.12.09	554.8	28	3 2d 10.12.09	314.6	28	3 2d 10.12.09	79.10	28	3 2d 10.12.09	25.883	30	5 2d 10.12.09	0.2008	30	5 2d 10.12.09	3.0538333333	30	5 2d 10.12.09	1.4892666667	30	5 2d 10.12.09	0.4016	30	5 2d 10.12.09	0.0074583259
29	4 2d 10.12.09	670.0	29	4 2d 10.12.09	160.0	29	4 2d 10.12.09	85.10	29	4 2d 10.12.09	45.954	27	2 2d 03.12.09	0.2342666667	27	2 2d 03.12.09	2.4765333333	27	2 2d 03.12.09	1.5813	27	2 2d 03.12.09	0.753	27	2 2d 03.12.09	0.0161446873
30	5 2d 10.12.09	542.0	30	5 2d 10.12.09	236.9	30	5 2d 10.12.09	65.95	30	5 2d 10.12.09	25.601	29	4 2d 10.12.09	0.0418333333	29	4 2d 10.12.09	0.4434333333	29	4 2d 10.12.09	0.1171333333	29	4 2d 10.12.09	0.1004	29	4 2d 10.12.09	0.0023993408
31	1 5d 21.04.10	172.7	31	1 5d 21.04.10	281.1	31	1 5d 21.04.10	241.00	31	1 5d 21.04.10	29.104	35	5 5d 21.04.10	0.5940333333	35	5 5d 21.04.10	3.2797333333	35	5 5d 21.04.10	1.0876666667	35	5 5d 21.04.10	1.6315	35	5 5d 21.04.10	0.0590356581
32	2 5d 21.04.10	216.9	32	2 5d 21.04.10	945.2	32	2 5d 21.04.10	249.80	32	2 5d 21.04.10	29.366	31	1 5d 21.04.10	0.4685333333	31	1 5d 21.04.10	4.1331333333	31	1 5d 21.04.10	1.3052	31	1 5d 21.04.10	1.5227333333	31	1 5d 21.04.10	0.0174850638
33	3 5d 21.04.10	390.0	33	3 5d 21.04.10	587.4	33	3 5d 21.04.10	192.50	33	3 5d 21.04.10	27.651	32	2 5d 21.04.10	0.9203333333	32	2 5d 21.04.10	3.8403	32	2 5d 21.04.10	0.7028	32	2 5d 21.04.10	1.1964333333	32	2 5d 21.04.10	0.007953466
34	4 5d 21.04.10	321.9	34	4 5d 21.04.10	675.0	34	4 5d 21.04.10	279.70	34	4 5d 21.04.10	42.620	33	3 5d 21.04.10	0.5438333333	33	3 5d 21.04.10	3.0203666667	33	3 5d 21.04.10	1.255	33	3 5d 21.04.10	2.0833	33	3 5d 21.04.10	0.0112036403
35	5 5d 21.04.10	486.6	35	5 5d 21.04.10	324.9	35	5 5d 21.04.10	373.20	35	5 5d 21.04.10	29.668	34	4 5d 21.04.10	0.4852666667	34	4 5d 21.04.10	3.4052333333	34	5 5d 21.04.10	0.9287	34	5 5d 21.04.10	1.8490333333	34	5 5d 21.04.10	0.0138873119
39	1 14d 16.12.09	108.0	39	1 14d 16.12.09	235.0	39	1 14d 16.12.09	239.90	39	1 14d 16.12.09	41.6	36	1 14d 09.12.09	0.0585666667	36	1 14d 09.12.09	2.0331	36	1 14d 09.12.09	0.5940333333	36	1 14d 09.12.09	1.3470333333	36	1 14d 09.12.09	0.0272390649
40	2 14d 16.12.09	68.0	40	2 14d 16.12.09	199.0	40	2 14d 16.12.09	319.50	40	2 14d 16.12.09	23.7	39	1 14d 16.12.09	0.6191333333	39	1 14d 16.12.09	4.518	39	1 14d 16.12.09	1.3219333333	39	1 14d 16.12.09	2.2422666667	39	1 14d 16.12.09	0.0444369595
36	1 14d 09.12.09	246.0	36	1 14d 09.12.09	157.0	36	1 14d 09.12.09	401.50	36	1 14d 09.12.09	35.0	37	2 14d 09.12.09	0	37	2 14d 09.12.09	0.1255	37	2 14d 09.12.09	0.1171333333	37	2 14d 09.12.09	0	37	2 14d 09.12.09	0.0670897913
37	2 14d 09.12.09	117.0	37	2 14d 09.12.09	153.0	37	2 14d 09.12.09	210.00	37	2 14d 09.12.09	28.4	38	3 14d 09.12.09	0.1338666667	38	3 14d 09.12.09	1.5394666667	38	3 14d 09.12.09	0.3095666667	38	3 14d 09.12.09	1.6147666667	38	3 14d 09.12.09	0.0585914112
38	3 14d 09.12.09	123.0	38	3 14d 09.12.09	93.0	38	3 14d 09.12.09	368.00	38	3 14d 09.12.09	30.4	37	2 14d 16.12.09	0.5438333333	37	2 14d 16.12.09	6.5343666667	37	2 14d 16.12.09	1.4139666667	37	2 14d 16.12.09	2.1753333333	37	2 14d 16.12.09	0.0721181124

